"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"2610305D13Rik.1",0,0.43372993990544,0.228,0.037,0,"Endothelial (Artery)","2610305D13Rik"
"Clec1a.1",0,0.433690509094604,0.238,0.067,0,"Endothelial (Artery)","Clec1a"
"Dynll1.1",0,0.433249680558778,0.866,0.757,0,"Endothelial (Artery)","Dynll1"
"Tnfsf10.1",0,0.431719164232666,0.216,0.034,0,"Endothelial (Artery)","Tnfsf10"
"Map3k11.1",0,0.431363153164291,0.286,0.115,0,"Endothelial (Artery)","Map3k11"
"Tpm3.2",0,0.430932509204731,0.748,0.654,0,"Endothelial (Artery)","Tpm3"
"Adrb2.2",0,0.429821027144056,0.265,0.127,0,"Endothelial (Artery)","Adrb2"
"Dock6.1",0,0.428929309682531,0.236,0.052,0,"Endothelial (Artery)","Dock6"
"Alox12",0,0.428056224718926,0.163,0.005,0,"Endothelial (Artery)","Alox12"
"Mcc.1",0,0.42502407357545,0.238,0.066,0,"Endothelial (Artery)","Mcc"
"Itgb1.1",0,0.424917237080093,0.705,0.586,0,"Endothelial (Artery)","Itgb1"
"Gnpda2.1",0,0.424327481005348,0.259,0.119,0,"Endothelial (Artery)","Gnpda2"
"Pla2g16.2",0,0.423459614634828,0.403,0.245,0,"Endothelial (Artery)","Pla2g16"
"Dnaja1.1",0,0.423147451481141,0.807,0.693,0,"Endothelial (Artery)","Dnaja1"
"Hdac7.3",0,0.422685407912594,0.312,0.139,0,"Endothelial (Artery)","Hdac7"
"Prnp.3",0,0.420771438237025,0.416,0.245,0,"Endothelial (Artery)","Prnp"
"Rapgef4.1",0,0.419668818378556,0.177,0.022,0,"Endothelial (Artery)","Rapgef4"
"Shroom4.1",0,0.419101258453473,0.209,0.024,0,"Endothelial (Artery)","Shroom4"
"Lama5.1",0,0.417030364800325,0.233,0.049,0,"Endothelial (Artery)","Lama5"
"Dennd3.1",0,0.416019684749304,0.187,0.022,0,"Endothelial (Artery)","Dennd3"
"Tspan9.1",0,0.415929430092457,0.248,0.078,0,"Endothelial (Artery)","Tspan9"
"Fam107a",0,0.41583972430522,0.126,0.004,0,"Endothelial (Artery)","Fam107a"
"Ets2.3",0,0.412670164651294,0.46,0.293,0,"Endothelial (Artery)","Ets2"
"Mmp15.1",0,0.411741401702379,0.201,0.026,0,"Endothelial (Artery)","Mmp15"
"Epn2.1",0,0.411394048454229,0.278,0.109,0,"Endothelial (Artery)","Epn2"
"Plscr4.1",0,0.41130618311657,0.269,0.102,0,"Endothelial (Artery)","Plscr4"
"Dll1.1",0,0.410318857836204,0.169,0.028,0,"Endothelial (Artery)","Dll1"
"Gper1",0,0.410250479213706,0.13,0.007,0,"Endothelial (Artery)","Gper1"
"Sox13",0,0.408835692141135,0.197,0.023,0,"Endothelial (Artery)","Sox13"
"Tenc1.2",0,0.408484511606056,0.294,0.12,0,"Endothelial (Artery)","Tenc1"
"Itpr3",0,0.408006526117629,0.201,0.037,0,"Endothelial (Artery)","Itpr3"
"Cst3.2",0,0.40567583925311,0.976,0.794,0,"Endothelial (Artery)","Cst3"
"Akap2.3",0,0.402669090920382,0.286,0.11,0,"Endothelial (Artery)","Akap2"
"Sncaip.1",0,0.402165074866296,0.198,0.025,0,"Endothelial (Artery)","Sncaip"
"Nova2.1",0,0.401138965003367,0.207,0.024,0,"Endothelial (Artery)","Nova2"
"Jund.3",0,0.398482302082929,0.867,0.763,0,"Endothelial (Artery)","Jund"
"Dennd5b.1",0,0.396962567921959,0.239,0.076,0,"Endothelial (Artery)","Dennd5b"
"Ppm1f.1",0,0.393981333753964,0.215,0.055,0,"Endothelial (Artery)","Ppm1f"
"Cd9.1",0,0.393643116768541,0.789,0.593,0,"Endothelial (Artery)","Cd9"
"Gas6.3",0,0.392202504343539,0.53,0.34,0,"Endothelial (Artery)","Gas6"
"Trpv4",0,0.391678039482587,0.153,0.019,0,"Endothelial (Artery)","Trpv4"
"Slc28a2.1",0,0.390958721838311,0.238,0.084,0,"Endothelial (Artery)","Slc28a2"
"Rgs5.1",0,0.390611306065343,0.248,0.048,0,"Endothelial (Artery)","Rgs5"
"Impdh1.1",0,0.390597750284285,0.254,0.115,0,"Endothelial (Artery)","Impdh1"
"Fzd6",0,0.390224222193678,0.18,0.017,0,"Endothelial (Artery)","Fzd6"
"Ppp1r13b.1",0,0.388057389751725,0.22,0.059,0,"Endothelial (Artery)","Ppp1r13b"
"Lzts2.1",0,0.38706493281388,0.334,0.175,0,"Endothelial (Artery)","Lzts2"
"Cbfa2t3.3",0,0.385900617685592,0.301,0.127,0,"Endothelial (Artery)","Cbfa2t3"
"Gm12002.1",0,0.384221001907817,0.176,0.034,0,"Endothelial (Artery)","Gm12002"
"Lrrc3b",0,0.384064334963691,0.15,0.005,0,"Endothelial (Artery)","Lrrc3b"
"Rac1.2",0,0.383503508825073,0.76,0.661,0,"Endothelial (Artery)","Rac1"
"Lnx1.1",0,0.382212111853189,0.199,0.04,0,"Endothelial (Artery)","Lnx1"
"Fam212a.1",0,0.379275052253627,0.199,0.065,0,"Endothelial (Artery)","Fam212a"
"Nfib.1",0,0.377169064235871,0.604,0.378,0,"Endothelial (Artery)","Nfib"
"Ccdc85a.1",0,0.375961055677954,0.215,0.054,0,"Endothelial (Artery)","Ccdc85a"
"Gatsl3.1",0,0.375785761625568,0.21,0.071,0,"Endothelial (Artery)","Gatsl3"
"Rnf144a.1",0,0.373705512881434,0.221,0.065,0,"Endothelial (Artery)","Rnf144a"
"Rhoa.2",0,0.372453884786323,0.839,0.734,0,"Endothelial (Artery)","Rhoa"
"Pparg.1",0,0.371634292032636,0.226,0.092,0,"Endothelial (Artery)","Pparg"
"Card10.1",0,0.371144892966853,0.212,0.045,0,"Endothelial (Artery)","Card10"
"Tmbim6.2",0,0.369604749735237,0.777,0.682,0,"Endothelial (Artery)","Tmbim6"
"Jag2",0,0.368616849007507,0.179,0.019,0,"Endothelial (Artery)","Jag2"
"St3gal6.2",0,0.366553373813053,0.288,0.114,0,"Endothelial (Artery)","St3gal6"
"Hoxb7.1",0,0.365178991451138,0.183,0.02,0,"Endothelial (Artery)","Hoxb7"
"Ccnyl1",0,0.36483644345624,0.206,0.073,0,"Endothelial (Artery)","Ccnyl1"
"Nhsl2",0,0.362770776757754,0.184,0.049,0,"Endothelial (Artery)","Nhsl2"
"Vamp5.3",0,0.362336021189145,0.339,0.163,0,"Endothelial (Artery)","Vamp5"
"Hoxa5.1",0,0.360725296973443,0.172,0.037,0,"Endothelial (Artery)","Hoxa5"
"Etl4.3",0,0.360363581399357,0.331,0.112,0,"Endothelial (Artery)","Etl4"
"Hip1r.1",0,0.360137090744873,0.185,0.03,0,"Endothelial (Artery)","Hip1r"
"Fmnl3.1",0,0.357969546963559,0.23,0.094,0,"Endothelial (Artery)","Fmnl3"
"Epha2.1",0,0.357343925822655,0.187,0.048,0,"Endothelial (Artery)","Epha2"
"Fam89a.1",0,0.355414800543228,0.174,0.027,0,"Endothelial (Artery)","Fam89a"
"Myzap.1",0,0.355067271069407,0.196,0.039,0,"Endothelial (Artery)","Myzap"
"Flt4.1",0,0.353455240840724,0.179,0.02,0,"Endothelial (Artery)","Flt4"
"Cyp2d22.1",0,0.353440736762144,0.223,0.079,0,"Endothelial (Artery)","Cyp2d22"
"Syt7",0,0.352153334594383,0.164,0.012,0,"Endothelial (Artery)","Syt7"
"Kcna5.1",0,0.351796366155704,0.191,0.044,0,"Endothelial (Artery)","Kcna5"
"Sipa1l2",0,0.350054768806854,0.186,0.061,0,"Endothelial (Artery)","Sipa1l2"
"Myo1b.1",0,0.349722511730882,0.25,0.099,0,"Endothelial (Artery)","Myo1b"
"Fam13c.1",0,0.349200399473771,0.183,0.049,0,"Endothelial (Artery)","Fam13c"
"Ackr3.2",0,0.348733402461568,0.342,0.163,0,"Endothelial (Artery)","Ackr3"
"Gm15055",0,0.348279748171253,0.13,0.009,0,"Endothelial (Artery)","Gm15055"
"Tnks1bp1.1",0,0.348069959869388,0.229,0.1,0,"Endothelial (Artery)","Tnks1bp1"
"Yes1.1",0,0.347641717692979,0.205,0.066,0,"Endothelial (Artery)","Yes1"
"Tnfrsf10b.1",0,0.347554225836122,0.152,0.034,0,"Endothelial (Artery)","Tnfrsf10b"
"Pola2.1",0,0.345452110497099,0.2,0.069,0,"Endothelial (Artery)","Pola2"
"Tmem178",0,0.344504302154011,0.134,0.004,0,"Endothelial (Artery)","Tmem178"
"Upp1",0,0.343165212407141,0.156,0.04,0,"Endothelial (Artery)","Upp1"
"Ndrg1.2",0,0.341302651786825,0.461,0.284,0,"Endothelial (Artery)","Ndrg1"
"Tal1",0,0.337622419900885,0.155,0.019,0,"Endothelial (Artery)","Tal1"
"Ifi44",0,0.337203992936641,0.16,0.051,0,"Endothelial (Artery)","Ifi44"
"Spns2.1",0,0.336104077382063,0.199,0.036,0,"Endothelial (Artery)","Spns2"
"Shank3.1",0,0.335986559153378,0.18,0.026,0,"Endothelial (Artery)","Shank3"
"Exoc6.1",0,0.334619092399928,0.21,0.078,0,"Endothelial (Artery)","Exoc6"
"Pcdh17.1",0,0.333700605179699,0.178,0.05,0,"Endothelial (Artery)","Pcdh17"
"Arhgef5.1",0,0.332928177320142,0.167,0.024,0,"Endothelial (Artery)","Arhgef5"
"Arl15",0,0.332068543142999,0.165,0.039,0,"Endothelial (Artery)","Arl15"
"Arc",0,0.331005063217669,0.12,0.027,0,"Endothelial (Artery)","Arc"
"Tead2",0,0.330364921960473,0.172,0.042,0,"Endothelial (Artery)","Tead2"
"Zcchc14",0,0.330350821216387,0.224,0.096,0,"Endothelial (Artery)","Zcchc14"
"Tjp2.1",0,0.329420204893744,0.202,0.071,0,"Endothelial (Artery)","Tjp2"
"Arhgef28",0,0.327455879205477,0.162,0.028,0,"Endothelial (Artery)","Arhgef28"
"Map4k2.1",0,0.326456379947549,0.201,0.066,0,"Endothelial (Artery)","Map4k2"
"Myl6.2",0,0.325437755090507,0.926,0.826,0,"Endothelial (Artery)","Myl6"
"Limch1.2",0,0.323661661958911,0.309,0.106,0,"Endothelial (Artery)","Limch1"
"Plekhg5.1",0,0.323418130241742,0.18,0.045,0,"Endothelial (Artery)","Plekhg5"
"Dysf.1",0,0.319426041049806,0.218,0.056,0,"Endothelial (Artery)","Dysf"
"Ptk2.1",0,0.318989256336141,0.229,0.095,0,"Endothelial (Artery)","Ptk2"
"Bmx",0,0.317570821988815,0.104,0.003,0,"Endothelial (Artery)","Bmx"
"Synpo",0,0.317241804781321,0.206,0.084,0,"Endothelial (Artery)","Synpo"
"Sh2d3c.1",0,0.31695247497038,0.208,0.069,0,"Endothelial (Artery)","Sh2d3c"
"Sema3f.1",0,0.315764216944021,0.156,0.023,0,"Endothelial (Artery)","Sema3f"
"Acer2",0,0.315760316540186,0.13,0.01,0,"Endothelial (Artery)","Acer2"
"Atp8b1",0,0.315641095175196,0.186,0.075,0,"Endothelial (Artery)","Atp8b1"
"Itm2b.1",0,0.314939390065381,0.986,0.834,0,"Endothelial (Artery)","Itm2b"
"Cers4.1",0,0.314924727747999,0.197,0.063,0,"Endothelial (Artery)","Cers4"
"Snn.1",0,0.313003579797867,0.174,0.039,0,"Endothelial (Artery)","Snn"
"Syt15",0,0.309892573627988,0.117,0.003,0,"Endothelial (Artery)","Syt15"
"Egfl8",0,0.307965588968982,0.133,0.019,0,"Endothelial (Artery)","Egfl8"
"Ednrb.1",0,0.30767473120458,0.188,0.07,0,"Endothelial (Artery)","Ednrb"
"Sybu.1",0,0.307299315217802,0.136,0.018,0,"Endothelial (Artery)","Sybu"
"Tnfaip8l1.1",0,0.306217464467164,0.121,0.024,0,"Endothelial (Artery)","Tnfaip8l1"
"Mansc1",0,0.304347044724416,0.136,0.019,0,"Endothelial (Artery)","Mansc1"
"Plekhg1.1",0,0.302825043574212,0.176,0.051,0,"Endothelial (Artery)","Plekhg1"
"Agrn",0,0.299841136056025,0.174,0.059,0,"Endothelial (Artery)","Agrn"
"9530082P21Rik.1",0,0.296042852937588,0.139,0.032,0,"Endothelial (Artery)","9530082P21Rik"
"Tgtp2",0,0.295972178922756,0.116,0.018,0,"Endothelial (Artery)","Tgtp2"
"Sdcbp2",0,0.295952210115247,0.106,0.01,0,"Endothelial (Artery)","Sdcbp2"
"Gfod1",0,0.295746434081915,0.163,0.039,0,"Endothelial (Artery)","Gfod1"
"Mfng.1",0,0.293162306182627,0.186,0.062,0,"Endothelial (Artery)","Mfng"
"Grap.1",0,0.293017726354337,0.209,0.074,0,"Endothelial (Artery)","Grap"
"Spock2",0,0.291585683414751,0.122,0.034,0,"Endothelial (Artery)","Spock2"
"Hoxa7.1",0,0.289842004157215,0.21,0.086,0,"Endothelial (Artery)","Hoxa7"
"S1pr4.1",0,0.289484208609566,0.153,0.027,0,"Endothelial (Artery)","S1pr4"
"Cd34.3",0,0.289340785520555,0.527,0.282,0,"Endothelial (Artery)","Cd34"
"Sorbs3.1",0,0.288227872972866,0.183,0.062,0,"Endothelial (Artery)","Sorbs3"
"Gm14207",0,0.287144433921652,0.131,0.011,0,"Endothelial (Artery)","Gm14207"
"Ubb.2",0,0.282458281432709,0.99,0.89,0,"Endothelial (Artery)","Ubb"
"Plcg1.1",0,0.282266842279552,0.191,0.077,0,"Endothelial (Artery)","Plcg1"
"Phactr1",0,0.280708141315796,0.156,0.049,0,"Endothelial (Artery)","Phactr1"
"Gnas.2",0,0.278574907694856,0.954,0.843,0,"Endothelial (Artery)","Gnas"
"Rhpn2",0,0.276583896590371,0.116,0.007,0,"Endothelial (Artery)","Rhpn2"
"Wscd1",0,0.27635245097532,0.125,0.012,0,"Endothelial (Artery)","Wscd1"
"Fzd4.1",0,0.276292023397126,0.156,0.048,0,"Endothelial (Artery)","Fzd4"
"Tbkbp1.1",0,0.275961862078325,0.159,0.052,0,"Endothelial (Artery)","Tbkbp1"
"Scarf1.1",0,0.275008660595902,0.179,0.052,0,"Endothelial (Artery)","Scarf1"
"Stap2.1",0,0.274347302096182,0.143,0.024,0,"Endothelial (Artery)","Stap2"
"Ptpn14",0,0.270865350332274,0.166,0.048,0,"Endothelial (Artery)","Ptpn14"
"Slc12a5",0,0.269078584708533,0.116,0.006,0,"Endothelial (Artery)","Slc12a5"
"Gimap8.1",0,0.267593557397278,0.16,0.031,0,"Endothelial (Artery)","Gimap8"
"Fam189a2",0,0.265636270265183,0.141,0.025,0,"Endothelial (Artery)","Fam189a2"
"Fat4",0,0.265054209006807,0.142,0.031,0,"Endothelial (Artery)","Fat4"
"Zbtb46.1",0,0.264486939423487,0.143,0.037,0,"Endothelial (Artery)","Zbtb46"
"Spata13",0,0.264174014984881,0.178,0.059,0,"Endothelial (Artery)","Spata13"
"Atp9a",0,0.262580894275392,0.16,0.04,0,"Endothelial (Artery)","Atp9a"
"Myo1d.1",0,0.261003527788662,0.16,0.045,0,"Endothelial (Artery)","Myo1d"
"Rnf152",0,0.259730453385328,0.11,0.013,0,"Endothelial (Artery)","Rnf152"
"Fam171a1",0,0.259462153231767,0.153,0.052,0,"Endothelial (Artery)","Fam171a1"
"Sema6d",0,0.258025898724206,0.164,0.057,0,"Endothelial (Artery)","Sema6d"
"Dusp26",0,0.257341449897366,0.113,0.013,0,"Endothelial (Artery)","Dusp26"
"Dbndd2",0,0.25730719828105,0.129,0.033,0,"Endothelial (Artery)","Dbndd2"
"Als2cl",0,0.25717628804484,0.136,0.021,0,"Endothelial (Artery)","Als2cl"
"Rapgef5",0,0.256134606101628,0.122,0.013,0,"Endothelial (Artery)","Rapgef5"
"Nod2",0,0.254994534287714,0.104,0.019,0,"Endothelial (Artery)","Nod2"
"Tspan18.1",0,0.251038807925852,0.129,0.031,0,"Endothelial (Artery)","Tspan18"
"Hoxb2",0,0.250006107605157,0.11,0.015,0,"Endothelial (Artery)","Hoxb2"
"Myof.1",0,-0.255194038559887,0.032,0.216,0,"Endothelial (Artery)","Myof"
"Ten1",0,-0.258507099741029,0.058,0.256,0,"Endothelial (Artery)","Ten1"
"Sh3pxd2b.2",0,-0.271297718103035,0.019,0.202,0,"Endothelial (Artery)","Sh3pxd2b"
"Vav1.3",0,-0.275757700657614,0.002,0.16,0,"Endothelial (Artery)","Vav1"
"Rassf2.2",0,-0.279832112248021,0.006,0.171,0,"Endothelial (Artery)","Rassf2"
"Sulf2.3",0,-0.292593895619217,0.022,0.21,0,"Endothelial (Artery)","Sulf2"
"Dse.1",0,-0.296097677824393,0.004,0.197,0,"Endothelial (Artery)","Dse"
"Pepd.1",0,-0.29782488622465,0.054,0.241,0,"Endothelial (Artery)","Pepd"
"Lpxn.3",0,-0.303361126282358,0.004,0.169,0,"Endothelial (Artery)","Lpxn"
"Slc38a1.2",0,-0.312691086634923,0.003,0.166,0,"Endothelial (Artery)","Slc38a1"
"Ifngr2.2",0,-0.312974188538041,0.106,0.321,0,"Endothelial (Artery)","Ifngr2"
"Tns3.2",0,-0.313483454290264,0.012,0.203,0,"Endothelial (Artery)","Tns3"
"P2ry6.3",0,-0.314831840390711,0.005,0.171,0,"Endothelial (Artery)","P2ry6"
"Oxct1.1",0,-0.316928626414808,0.103,0.323,0,"Endothelial (Artery)","Oxct1"
"Taok3.2",0,-0.318611995116458,0.063,0.273,0,"Endothelial (Artery)","Taok3"
"Dtnbp1.2",0,-0.320574855906157,0.123,0.338,0,"Endothelial (Artery)","Dtnbp1"
"Cmtm3.2",0,-0.32406687546404,0.088,0.313,0,"Endothelial (Artery)","Cmtm3"
"Lrrc25.3",0,-0.33178911167232,0.002,0.172,0,"Endothelial (Artery)","Lrrc25"
"Rab3il1.2",0,-0.331957123727834,0.019,0.223,0,"Endothelial (Artery)","Rab3il1"
"Pold4.1",0,-0.33960490151056,0.131,0.354,0,"Endothelial (Artery)","Pold4"
"Rpl23.2",0,-0.340063100587972,0.948,0.88,0,"Endothelial (Artery)","Rpl23"
"Arrb2.3",0,-0.343774397353179,0.033,0.22,0,"Endothelial (Artery)","Arrb2"
"Rap2b.1",0,-0.345353573594556,0.052,0.261,0,"Endothelial (Artery)","Rap2b"
"Itgav.1",0,-0.345755664327002,0.052,0.261,0,"Endothelial (Artery)","Itgav"
"Glipr1.3",0,-0.346007225258825,0.003,0.17,0,"Endothelial (Artery)","Glipr1"
"Hck.3",0,-0.352509773101069,0.004,0.181,0,"Endothelial (Artery)","Hck"
"Npm3.2",0,-0.352542352296414,0.08,0.284,0,"Endothelial (Artery)","Npm3"
"Nap1l1.2",0,-0.35312009786035,0.172,0.398,0,"Endothelial (Artery)","Nap1l1"
"Rps27a.2",0,-0.3579624583957,0.956,0.88,0,"Endothelial (Artery)","Rps27a"
"Ccr5.3",0,-0.362578906408313,0.004,0.162,0,"Endothelial (Artery)","Ccr5"
"Myo1f.3",0,-0.364285358194602,0.003,0.195,0,"Endothelial (Artery)","Myo1f"
"AI662270.3",0,-0.365055474897261,0.018,0.204,0,"Endothelial (Artery)","AI662270"
"Uap1l1.2",0,-0.366583164809166,0.027,0.234,0,"Endothelial (Artery)","Uap1l1"
"Sec11c.3",0,-0.367127554196447,0.154,0.371,0,"Endothelial (Artery)","Sec11c"
"Snx20.3",0,-0.3698758813172,0.009,0.176,0,"Endothelial (Artery)","Snx20"
"Cebpa.2",0,-0.372885062546403,0.047,0.237,0,"Endothelial (Artery)","Cebpa"
"Fermt3.3",0,-0.37303250484356,0.012,0.21,0,"Endothelial (Artery)","Fermt3"
"Nckap1l.3",0,-0.374859603203323,0.003,0.2,0,"Endothelial (Artery)","Nckap1l"
"Cd86.3",0,-0.37649466777853,0.002,0.167,0,"Endothelial (Artery)","Cd86"
"Lair1.3",0,-0.37669101250238,0.002,0.172,0,"Endothelial (Artery)","Lair1"
"Rbpj.1",0,-0.382437770471082,0.113,0.326,0,"Endothelial (Artery)","Rbpj"
"Plxnb2.1",0,-0.387951804405557,0.018,0.255,0,"Endothelial (Artery)","Plxnb2"
"Tnfaip8l2.3",0,-0.388073998777549,0.003,0.18,0,"Endothelial (Artery)","Tnfaip8l2"
"Sdf2l1.2",0,-0.391641226806792,0.058,0.26,0,"Endothelial (Artery)","Sdf2l1"
"Hn1.2",0,-0.392090724396061,0.294,0.531,0,"Endothelial (Artery)","Hn1"
"Atpif1.1",0,-0.393275144537356,0.339,0.559,0,"Endothelial (Artery)","Atpif1"
"Myo5a.1",0,-0.393730893242921,0.012,0.237,0,"Endothelial (Artery)","Myo5a"
"Fabp5.2",0,-0.395221735139859,0.655,0.382,0,"Endothelial (Artery)","Fabp5"
"Apobec1.3",0,-0.397099043353086,0.019,0.218,0,"Endothelial (Artery)","Apobec1"
"Rpl32.2",0,-0.398117897332574,0.956,0.873,0,"Endothelial (Artery)","Rpl32"
"Lamp2.1",0,-0.399090573605071,0.422,0.643,0,"Endothelial (Artery)","Lamp2"
"Slc43a2.2",0,-0.399724675884758,0.02,0.215,0,"Endothelial (Artery)","Slc43a2"
"Scpep1.1",0,-0.400734945679144,0.058,0.325,0,"Endothelial (Artery)","Scpep1"
"Gns.2",0,-0.402248350651355,0.089,0.317,0,"Endothelial (Artery)","Gns"
"Hmha1.3",0,-0.402456432484021,0.01,0.19,0,"Endothelial (Artery)","Hmha1"
"Blnk.2",0,-0.403482347324264,0.004,0.186,0,"Endothelial (Artery)","Blnk"
"Abhd12.3",0,-0.404969999408546,0.088,0.302,0,"Endothelial (Artery)","Abhd12"
"Arhgap30.3",0,-0.407950848279893,0.004,0.201,0,"Endothelial (Artery)","Arhgap30"
"Soat1.2",0,-0.408736345739782,0.017,0.242,0,"Endothelial (Artery)","Soat1"
"Notch2.2",0,-0.41162198681551,0.015,0.223,0,"Endothelial (Artery)","Notch2"
"Csf2ra.3",0,-0.416558765895914,0.012,0.215,0,"Endothelial (Artery)","Csf2ra"
"Syk.3",0,-0.419066259943512,0.014,0.212,0,"Endothelial (Artery)","Syk"
"Irf5.3",0,-0.421851020238881,0.005,0.221,0,"Endothelial (Artery)","Irf5"
"Fnip1.2",0,-0.422444737203193,0.096,0.311,0,"Endothelial (Artery)","Fnip1"
"Gas7.3",0,-0.422952256286245,0.005,0.203,0,"Endothelial (Artery)","Gas7"
"Tmem106a.3",0,-0.424585526803342,0.048,0.256,0,"Endothelial (Artery)","Tmem106a"
"AB124611.3",0,-0.424648410262404,0.004,0.198,0,"Endothelial (Artery)","AB124611"
"Vimp.2",0,-0.426351354185847,0.151,0.425,0,"Endothelial (Artery)","Vimp"
"Rps15a.2",0,-0.426798887826179,0.932,0.866,0,"Endothelial (Artery)","Rps15a"
"Limd2.3",0,-0.427043129405253,0.06,0.257,0,"Endothelial (Artery)","Limd2"
"Dock2.3",0,-0.428496116115844,0.004,0.205,0,"Endothelial (Artery)","Dock2"
"Clec4a1.3",0,-0.431314228020861,0.003,0.171,0,"Endothelial (Artery)","Clec4a1"
"Cndp2.2",0,-0.431598124579211,0.129,0.344,0,"Endothelial (Artery)","Cndp2"
"Sgpl1.2",0,-0.438417044823901,0.043,0.287,0,"Endothelial (Artery)","Sgpl1"
"Cpq.2",0,-0.438464736125706,0.026,0.223,0,"Endothelial (Artery)","Cpq"
"Fam107b.3",0,-0.439761439784788,0.013,0.187,0,"Endothelial (Artery)","Fam107b"
"Ramp1.2",0,-0.439765899027691,0.006,0.207,0,"Endothelial (Artery)","Ramp1"
"Lpar1.3",0,-0.443371596089446,0.005,0.189,0,"Endothelial (Artery)","Lpar1"
"P2rx4.2",0,-0.445056828258294,0.035,0.276,0,"Endothelial (Artery)","P2rx4"
"Zfhx4.2",0,-0.446194155403163,0.004,0.168,0,"Endothelial (Artery)","Zfhx4"
"2810055G20Rik.1",0,-0.447890524729935,0.009,0.181,0,"Endothelial (Artery)","2810055G20Rik"
"Ncf1.3",0,-0.449567700299658,0.006,0.195,0,"Endothelial (Artery)","Ncf1"
"Pld3.3",0,-0.452445100380701,0.103,0.31,0,"Endothelial (Artery)","Pld3"
"Hcls1.3",0,-0.453852078509463,0.051,0.262,0,"Endothelial (Artery)","Hcls1"
"Gpsm3.2",0,-0.454960965584689,0.077,0.322,0,"Endothelial (Artery)","Gpsm3"
"Cd37.3",0,-0.458540646034825,0.004,0.2,0,"Endothelial (Artery)","Cd37"
"Igsf6.3",0,-0.460045228274039,0.008,0.195,0,"Endothelial (Artery)","Igsf6"
"Cyth4.3",0,-0.462034594899745,0.017,0.232,0,"Endothelial (Artery)","Cyth4"
"Antxr2.2",0,-0.467490056568919,0.014,0.248,0,"Endothelial (Artery)","Antxr2"
"Medag.3",0,-0.469028571244809,0.01,0.173,0,"Endothelial (Artery)","Medag"
"Slc11a1.3",0,-0.469744840734459,0.004,0.207,0,"Endothelial (Artery)","Slc11a1"
"Cmtm7.2",0,-0.474069167394059,0.074,0.351,0,"Endothelial (Artery)","Cmtm7"
"Tlr2.3",0,-0.475861735630844,0.029,0.204,0,"Endothelial (Artery)","Tlr2"
"Pirb.3",0,-0.476432278958079,0.009,0.223,0,"Endothelial (Artery)","Pirb"
"Mpc1.2",0,-0.477010089023671,0.26,0.512,0,"Endothelial (Artery)","Mpc1"
"Gng2.3",0,-0.478027229622341,0.01,0.256,0,"Endothelial (Artery)","Gng2"
"Adam8.3",0,-0.481960478073893,0.011,0.175,0,"Endothelial (Artery)","Adam8"
"Lhfp.2",0,-0.484676242663523,0.02,0.199,0,"Endothelial (Artery)","Lhfp"
"Apbb1ip.2",0,-0.48560098076042,0.017,0.279,0,"Endothelial (Artery)","Apbb1ip"
"Slc15a3.3",0,-0.48718083537289,0.037,0.221,0,"Endothelial (Artery)","Slc15a3"
"Ncf4.3",0,-0.489738411191367,0.002,0.221,0,"Endothelial (Artery)","Ncf4"
"Acp5.3",0,-0.494464303894519,0.004,0.17,0,"Endothelial (Artery)","Acp5"
"Oaf.3",0,-0.504509521590288,0.025,0.201,0,"Endothelial (Artery)","Oaf"
"Cd84.3",0,-0.505525083708921,0.004,0.218,0,"Endothelial (Artery)","Cd84"
"Npc1.3",0,-0.506258483380615,0.064,0.27,0,"Endothelial (Artery)","Npc1"
"Fam105a.3",0,-0.510794570699623,0.005,0.234,0,"Endothelial (Artery)","Fam105a"
"Prrx1.2",0,-0.513423099158249,0.008,0.186,0,"Endothelial (Artery)","Prrx1"
"Erp29.3",0,-0.514610809054324,0.284,0.516,0,"Endothelial (Artery)","Erp29"
"Napsa.3",0,-0.514759048635967,0.003,0.171,0,"Endothelial (Artery)","Napsa"
"Tubb6.2",0,-0.515496553452459,0.118,0.401,0,"Endothelial (Artery)","Tubb6"
"Lat2.3",0,-0.515707484083132,0.007,0.221,0,"Endothelial (Artery)","Lat2"
"Rps9.2",0,-0.515721784860899,0.922,0.874,0,"Endothelial (Artery)","Rps9"
"Serp1.2",0,-0.522065793562595,0.266,0.536,0,"Endothelial (Artery)","Serp1"
"Nme1.2",0,-0.523004888251564,0.272,0.507,0,"Endothelial (Artery)","Nme1"
"Rpl39.3",0,-0.523118254793124,0.905,0.861,0,"Endothelial (Artery)","Rpl39"
"Cyp4f18.3",0,-0.52515398662668,0.003,0.187,0,"Endothelial (Artery)","Cyp4f18"
"Trps1.2",0,-0.527205258748222,0.048,0.308,0,"Endothelial (Artery)","Trps1"
"Tspan3.2",0,-0.533817520740099,0.055,0.353,0,"Endothelial (Artery)","Tspan3"
"Rpl10a.2",0,-0.535834215192697,0.826,0.834,0,"Endothelial (Artery)","Rpl10a"
"Apoc2.3",0,-0.538302305289331,0.004,0.173,0,"Endothelial (Artery)","Apoc2"
"Plbd1.3",0,-0.541596477779094,0.005,0.181,0,"Endothelial (Artery)","Plbd1"
"Itgb5.2",0,-0.543978967625933,0.084,0.359,0,"Endothelial (Artery)","Itgb5"
"Ptpn6.3",0,-0.546423697411994,0.006,0.244,0,"Endothelial (Artery)","Ptpn6"
