"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Npdc1.13",0,-0.442087752392791,0.01,0.212,0,"Myonuclei (Type IIx)","Npdc1"
"Sod1.5",0,-0.442156279071416,0.09,0.379,0,"Myonuclei (Type IIx)","Sod1"
"Syk.16",0,-0.442391604354461,0.005,0.219,0,"Myonuclei (Type IIx)","Syk"
"Akap2.14",0,-0.442796148555104,0.002,0.119,0,"Myonuclei (Type IIx)","Akap2"
"Fxyd6.16",0,-0.442975835787909,0.057,0.181,0,"Myonuclei (Type IIx)","Fxyd6"
"Mxra7.10",0,-0.443077734786222,0.004,0.207,0,"Myonuclei (Type IIx)","Mxra7"
"Vps35.1",0,-0.443080527343485,0.057,0.365,0,"Myonuclei (Type IIx)","Vps35"
"Il11ra1.16",0,-0.44364833356393,0.107,0.312,0,"Myonuclei (Type IIx)","Il11ra1"
"Inpp5d.17",0,-0.444195479965312,0.003,0.223,0,"Myonuclei (Type IIx)","Inpp5d"
"Soat1.11",0,-0.444727025144454,0.003,0.25,0,"Myonuclei (Type IIx)","Soat1"
"Gpx8.15",0,-0.444770463002154,0.005,0.192,0,"Myonuclei (Type IIx)","Gpx8"
"Csf2ra.17",0,-0.445516501855057,0.004,0.222,0,"Myonuclei (Type IIx)","Csf2ra"
"Npm3.7",0,-0.445700218936224,0.038,0.293,0,"Myonuclei (Type IIx)","Npm3"
"Strap.2",0,-0.446200861017062,0.092,0.408,0,"Myonuclei (Type IIx)","Strap"
"Pebp1.4",0,-0.446393716877598,0.144,0.573,0,"Myonuclei (Type IIx)","Pebp1"
"Coq10b.4",0,-0.44649336592384,0.073,0.355,0,"Myonuclei (Type IIx)","Coq10b"
"Gatm.16",0,-0.446501923328313,0.033,0.145,0,"Myonuclei (Type IIx)","Gatm"
"Tnfsf9.12",0,-0.446782918090583,0.001,0.132,0,"Myonuclei (Type IIx)","Tnfsf9"
"Gpx4.3",0,-0.446797683849148,0.237,0.753,0,"Myonuclei (Type IIx)","Gpx4"
"Cwc15.1",0,-0.446808755900064,0.106,0.464,0,"Myonuclei (Type IIx)","Cwc15"
"Nrros.13",0,-0.447230468460221,0.004,0.223,0,"Myonuclei (Type IIx)","Nrros"
"Hmgn2.4",0,-0.44742863394112,0.032,0.272,0,"Myonuclei (Type IIx)","Hmgn2"
"Map1b.12",0,-0.447491699079887,0.02,0.193,0,"Myonuclei (Type IIx)","Map1b"
"Tmem86a.16",0,-0.447493273365938,0.004,0.201,0,"Myonuclei (Type IIx)","Tmem86a"
"Gm10073.3",0,-0.447925036282872,0.051,0.319,0,"Myonuclei (Type IIx)","Gm10073"
"1110004F10Rik.2",0,-0.447962259130649,0.094,0.422,0,"Myonuclei (Type IIx)","1110004F10Rik"
"Bnip3l.3",0,-0.448372063722696,0.14,0.476,0,"Myonuclei (Type IIx)","Bnip3l"
"Hmox2.3",0,-0.448474377058528,0.042,0.323,0,"Myonuclei (Type IIx)","Hmox2"
"Smad7.8",0,-0.449222126333973,0.042,0.271,0,"Myonuclei (Type IIx)","Smad7"
"Steap4.14",0,-0.449387319657211,0.005,0.121,0,"Myonuclei (Type IIx)","Steap4"
"Slbp.3",0,-0.449693891925642,0.038,0.309,0,"Myonuclei (Type IIx)","Slbp"
"Ralb.8",0,-0.449925766726012,0.024,0.304,0,"Myonuclei (Type IIx)","Ralb"
"Myd88.2",0,-0.450162609490029,0.007,0.264,0,"Myonuclei (Type IIx)","Myd88"
"Myeov2.3",0,-0.45037320424656,0.133,0.538,0,"Myonuclei (Type IIx)","Myeov2"
"Ifi35.3",0,-0.451011490274222,0.023,0.276,0,"Myonuclei (Type IIx)","Ifi35"
"Fosl1.9",0,-0.451132390423382,0.001,0.116,0,"Myonuclei (Type IIx)","Fosl1"
"Fndc3b.7",0,-0.451162313136183,0.022,0.286,0,"Myonuclei (Type IIx)","Fndc3b"
"Hsd17b12",0,-0.451594368829232,0.009,0.29,0,"Myonuclei (Type IIx)","Hsd17b12"
"Atxn7l3b.1",0,-0.451679025688176,0.076,0.401,0,"Myonuclei (Type IIx)","Atxn7l3b"
"Lamb1.12",0,-0.452392707109695,0.008,0.162,0,"Myonuclei (Type IIx)","Lamb1"
"St13.2",0,-0.45251284603562,0.155,0.505,0,"Myonuclei (Type IIx)","St13"
"Ebna1bp2.2",0,-0.452586822963912,0.039,0.301,0,"Myonuclei (Type IIx)","Ebna1bp2"
"Anp32e.5",0,-0.453194195978802,0.049,0.324,0,"Myonuclei (Type IIx)","Anp32e"
"Mien1.1",0,-0.454649843592115,0.063,0.384,0,"Myonuclei (Type IIx)","Mien1"
"Pfdn2.2",0,-0.454683982079404,0.127,0.476,0,"Myonuclei (Type IIx)","Pfdn2"
"Crispld2.15",0,-0.454891933139317,0.004,0.114,0,"Myonuclei (Type IIx)","Crispld2"
"Pole4.5",0,-0.454974615759953,0.046,0.329,0,"Myonuclei (Type IIx)","Pole4"
"Rab6a.5",0,-0.455050024074888,0.095,0.401,0,"Myonuclei (Type IIx)","Rab6a"
"Stx7.7",0,-0.455194708161761,0.051,0.353,0,"Myonuclei (Type IIx)","Stx7"
"Ddx21.9",0,-0.455880366414551,0.088,0.337,0,"Myonuclei (Type IIx)","Ddx21"
"Gm10116.14",0,-0.456139689687986,0.004,0.194,0,"Myonuclei (Type IIx)","Gm10116"
"BC056474.1",0,-0.456485538933107,0.058,0.371,0,"Myonuclei (Type IIx)","BC056474"
"Nt5c.3",0,-0.456694848129577,0.013,0.305,0,"Myonuclei (Type IIx)","Nt5c"
"Hsd11b1.13",0,-0.456728347197684,0.002,0.121,0,"Myonuclei (Type IIx)","Hsd11b1"
"Lpar1.16",0,-0.457267171395407,0.003,0.195,0,"Myonuclei (Type IIx)","Lpar1"
"Lmnb1.11",0,-0.457382902727094,0.014,0.19,0,"Myonuclei (Type IIx)","Lmnb1"
"Scpep1.10",0,-0.458253394789291,0.02,0.335,0,"Myonuclei (Type IIx)","Scpep1"
"mt-Atp8.2",0,-0.458453586339581,0.043,0.315,0,"Myonuclei (Type IIx)","mt-Atp8"
"Cetn3.4",0,-0.458545702346865,0.058,0.371,0,"Myonuclei (Type IIx)","Cetn3"
"Vps28.1",0,-0.459924126319398,0.071,0.384,0,"Myonuclei (Type IIx)","Vps28"
"Lsm5.4",0,-0.460291515279064,0.041,0.332,0,"Myonuclei (Type IIx)","Lsm5"
