"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Golgb1",1.77874896941991e-127,-0.891476304112739,0.336,0.317,5.02549946330206e-123
"Ubxn4",2.8147202927535e-127,-0.377370445900527,0.478,0.309,7.95242924311646e-123
"Sh2b1",3.37380179140292e-127,-0.490444528279824,0.105,0.136,9.53200220125066e-123
"Ctcf",3.8650328589765e-127,-0.345704604618398,0.275,0.178,1.09198773364663e-122
"Prosc",5.73483796990708e-127,-0.355437202737019,0.23,0.146,1.62026377163785e-122
"Arnt",1.54654524820501e-126,-0.709254595023626,0.192,0.212,4.36945428975363e-122
"Appl2",2.16311948515556e-125,-0.524032903023652,0.103,0.133,6.11146148141001e-121
"Mllt6",2.25503172047221e-125,-0.543722846866432,0.134,0.164,6.37114111985013e-121
"Pkd1",3.29211911590039e-125,-0.540728189209957,0.124,0.156,9.30122413815337e-121
"Ide",6.16418516597621e-125,-0.69040292192011,0.169,0.193,1.74156723494326e-120
"Rsrc1",1.19462610550189e-124,-0.36956563246752,0.224,0.142,3.37517713587449e-120
"Fam21",5.69386722418798e-124,-0.329273516491047,0.224,0.143,1.60868830684983e-119
"Rbmx",1.119029227438e-123,-0.578975682709256,0.133,0.163,3.16159327628059e-119
"Zbtb43",1.37139415909828e-123,-0.494296853257855,0.08,0.109,3.87459991770036e-119
"Rapgef6",1.4317280697589e-123,-0.297744102670757,0.245,0.16,4.04506131548983e-119
"Tob2",1.07176059759107e-122,-0.348307133223138,0.373,0.246,3.02804521637405e-118
"Rprd1b",2.82934247411685e-122,-0.594483584782008,0.12,0.148,7.99374129212233e-118
"Wbp1l",3.41771003098834e-122,-0.723698970630438,0.185,0.206,9.65605615055134e-118
"Whamm",1.2636942118135e-120,-0.477202150507068,0.083,0.113,3.57031525663667e-116
"Mecr",2.01274759660764e-120,-0.501917588326522,0.091,0.12,5.68661578469558e-116
"Snrnp48",9.06161514966426e-120,-0.256184235336875,0.187,0.12,2.56017812823464e-115
"Trp53inp2",2.02602004372685e-119,-0.595709387371119,0.132,0.159,5.72411442954147e-115
"Mrps9",2.9190414812456e-118,-0.269212406664428,0.184,0.118,8.2471678969632e-114
"Fam120a",5.11665926096982e-118,-0.39465535142485,0.285,0.186,1.4456097410018e-113
"Ybx3",5.85178629071282e-117,-0.560150797819611,0.407,0.383,1.65330518071509e-112
"Capn7",2.09845746137941e-115,-0.570129688979648,0.108,0.136,5.92877186563526e-111
"0610009O20Rik",3.55020219240652e-114,-0.436149309554991,0.083,0.112,1.00303862542061e-109
"Asb8",2.15200823539646e-113,-0.499575442293274,0.092,0.12,6.0800688674656e-109
"Acadm",3.16206683774623e-113,-0.326260019249373,0.251,0.166,8.93378743668441e-109
"Prrc2a",5.89837037645891e-113,-0.34136623150874,0.32,0.213,1.66646658246094e-108
"Mfsd11",4.18346421347337e-112,-0.308463913363249,0.211,0.137,1.18195414423263e-107
"Ell",1.11990083321776e-111,-0.529392446495015,0.107,0.135,3.16405582409013e-107
"Zfp800",2.01686063510354e-111,-0.267168163452673,0.17,0.108,5.69823635235804e-107
"Wipi2",5.79956260711346e-111,-0.269423285411705,0.194,0.127,1.63855042338776e-106
"Tmem106b",1.42820232347074e-110,-0.743779196807349,0.192,0.208,4.03510002450188e-106
"Nr2c2",1.99552967982385e-108,-0.544351431049174,0.101,0.128,5.63797000440633e-104
"Slk",4.61892793001588e-108,-0.741560029370419,0.302,0.293,1.30498570806739e-103
"Ikbkap",5.92679256053768e-106,-0.43663494176736,0.074,0.101,1.67449670212871e-101
"Cars",6.08524846345544e-106,-0.471765128070348,0.102,0.129,1.71926524838006e-101
"Arfgap1",5.92157356203779e-105,-0.640937614938481,0.139,0.163,1.67302217848254e-100
"Epc2",1.03700187649687e-104,-0.310550183454441,0.176,0.113,2.9298414016666e-100
"Gmppa",1.33413114229377e-104,-0.589895252429861,0.144,0.168,3.76932071632259e-100
"Scmh1",1.154270830306e-103,-0.472841755285325,0.089,0.116,3.26116137686355e-99
"Smarcc2",2.19880647444015e-103,-0.29582931022796,0.196,0.129,6.21228793223575e-99
"Zfp322a",1.31727289457836e-102,-0.466750961621462,0.081,0.107,3.72169110905223e-98
"Gbas",2.01796971559838e-102,-0.59050923045456,0.158,0.181,5.70136983748011e-98
"Pik3ca",4.72062974270734e-102,-0.34396527312928,0.198,0.131,1.3337195212071e-97
"Narf",3.17731047082192e-100,-0.455876156443675,0.081,0.106,8.97685527321316e-96
"Prrx1",5.36565356826178e-100,-0.488349131109531,0.179,0.207,1.515958102641e-95
"Gaa",8.98988848458334e-100,-0.329157730413691,0.236,0.159,2.53991319354933e-95
"Uhrf1bp1l",1.72151314895112e-99,-0.280943514430045,0.15,0.096,4.86379109973161e-95
"Sik3",8.66416953614713e-99,-0.257281955431379,0.156,0.102,2.44788781904765e-94
"Josd2",1.68292876028923e-98,-0.283208188568879,0.21,0.141,4.75477862644517e-94
"Map3k7",3.17630629118668e-98,-0.601894444354454,0.124,0.148,8.97401816448974e-94
"Fmnl2",3.35023151211424e-98,-0.578610107720521,0.102,0.127,9.46540909117636e-94
"Mnat1",3.79914829182443e-98,-0.305780827561761,0.18,0.118,1.07337336688916e-93
"Tmem80",1.70790487712121e-97,-0.451929421312008,0.086,0.112,4.82534364933056e-93
"Fam63a",1.77498870406144e-97,-0.262902093530599,0.156,0.101,5.01487558558478e-93
"Txnl1",2.09532894998489e-96,-0.311569132190382,0.459,0.308,5.91993288239232e-92
"St3gal6",2.23245103973121e-96,-0.404943481483391,0.115,0.143,6.30734392255259e-92
"Pdpk1",8.33213832492449e-96,-0.28345496052812,0.179,0.118,2.35407904094091e-91
"Macf1",1.58790092817585e-95,-0.782245181890077,0.383,0.354,4.48629649237522e-91
"Itpr1",4.63226067100263e-95,-0.529934758395062,0.116,0.141,1.30875260737837e-90
"Cdk8",5.73911605082203e-95,-0.563497574017365,0.12,0.143,1.62147245783875e-90
"Cops3",8.93327500070265e-95,-0.303438533611223,0.194,0.129,2.52391818594852e-90
"Itsn2",9.90137845564561e-95,-0.329703169284503,0.2,0.134,2.79743645507356e-90
"Ankrd12",1.2666740335178e-94,-0.845284754324373,0.359,0.332,3.57873414689785e-90
"Tmem87b",1.87103084685708e-94,-0.292952864913892,0.174,0.115,5.28622345162531e-90
"Larp4",3.82505274609577e-94,-0.73652289894622,0.227,0.232,1.08069215235444e-89
"Mrps23",1.31692423643805e-93,-0.347240790203731,0.227,0.153,3.72070604520842e-89
"Dnajc13",3.11438969742359e-93,-0.352375695605626,0.199,0.132,8.79908521213086e-89
"Lars",7.89470906148739e-93,-0.273155188576171,0.182,0.122,2.23049215114203e-88
"Ascc3",8.39148291104505e-93,-0.700508084114883,0.176,0.191,2.37084566685756e-88
"Metap2",2.31435134073328e-92,-0.726428875190453,0.505,0.423,6.53873684297375e-88
"Tra2a",1.18609210558428e-90,-0.675835619691351,0.267,0.269,3.35106602590725e-86
"Nampt",3.99295241908256e-90,-0.794299929702864,0.334,0.311,1.12812884696339e-85
"Npepl1",4.24640529462458e-90,-0.308600097126739,0.209,0.144,1.19973688789028e-85
"Tcf12",1.17007723745657e-89,-0.723096561287453,0.274,0.27,3.30581921898604e-85
"D14Abb1e",2.09464893708411e-89,-0.654463291124936,0.151,0.172,5.91801164194372e-85
"Stat5b",2.445955119715e-88,-0.546903541894,0.124,0.147,6.9105569997308e-84
"Zmym4",3.93509077397389e-88,-0.540131574009431,0.112,0.135,1.11178119637084e-83
"Mrps10",4.50716720537507e-88,-0.327141384937407,0.188,0.126,1.27340995053462e-83
"Sorl1",9.8880750288213e-88,-0.443720812860715,0.121,0.145,2.79367783789288e-83
"Nbr1",1.32970347797405e-87,-0.280561429108678,0.17,0.113,3.75681123632009e-83
"Dcaf17",1.43742427908776e-87,-0.474533659730329,0.081,0.105,4.06115481570666e-83
"Arid2",1.81696911396436e-87,-0.616946561054102,0.154,0.173,5.13348283768351e-83
"Zfp148",5.99626646778304e-87,-0.384958248214987,0.24,0.162,1.69412516514274e-82
"Aqr",7.99839745296877e-87,-0.268485597044673,0.151,0.1,2.25978723238727e-82
"Fubp1",8.15741744349021e-87,-0.655110740979647,0.301,0.292,2.30471515030929e-82
"Tulp4",3.14221421315778e-86,-0.774238706484632,0.306,0.289,8.87769781643468e-82
"Pcnx",3.34943602137629e-86,-0.518396254825324,0.101,0.124,9.46316159119443e-82
"Nudt3",4.0836914932779e-85,-0.29595015117162,0.176,0.119,1.1537653575958e-80
"Aff1",1.99597620443705e-84,-0.288317443909126,0.191,0.13,5.63923157039599e-80
"Tmem19",2.44298016478665e-84,-0.329435595978879,0.144,0.094,6.90215185957172e-80
"Atxn7l1",2.61713017236336e-84,-0.611163631591096,0.132,0.152,7.3941778759782e-80
"Zfand5",1.58730310252757e-83,-0.370034852541039,0.665,0.561,4.48460745557114e-79
"Clcn7",1.61370296700371e-83,-0.255976783677927,0.135,0.089,4.55919499267558e-79
"Baz2b",5.37343607917978e-83,-0.730235368185246,0.307,0.293,1.51815689545066e-78
"Taf1",8.87091401713824e-83,-0.655959301599476,0.152,0.17,2.50629933726207e-78
"Smarca2",5.41398919968498e-82,-0.310084852908222,0.2,0.138,1.529614368587e-77
