"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","is.trascr.factor","is.surface.protein"
"Syne1.7",1.931023822715e-187,0.364143243369049,0.533,0.118,5.4557216063167e-183,"11","Syne1",FALSE,FALSE
"Ccdc134.1",1.00523344071105e-186,0.278904929517127,0.427,0.083,2.84008604004092e-182,"11","Ccdc134",FALSE,FALSE
"Dnajc9.3",1.01686714098025e-186,0.26846460987143,0.398,0.074,2.87295473341149e-182,"11","Dnajc9",FALSE,FALSE
"Fam49b.3",5.11700441703536e-184,0.358463531947619,0.533,0.125,1.445707257945e-179,"11","Fam49b",FALSE,FALSE
"Exosc9.2",7.18034856058759e-184,0.303922158951527,0.476,0.103,2.02866387882281e-179,"11","Exosc9",FALSE,FALSE
"Palmd",1.07911749861028e-182,0.289657533655741,0.418,0.079,3.04883066882363e-178,"11","Palmd",FALSE,FALSE
"Trappc2l.4",1.16893761958273e-182,0.319695972965974,0.568,0.136,3.30259945660707e-178,"11","Trappc2l",FALSE,FALSE
"Wdr1.5",3.04706797825128e-182,0.377246053983467,0.584,0.146,8.60888115895333e-178,"11","Wdr1",FALSE,FALSE
"Ankrd10.8",9.46862648621205e-182,0.71921086803567,0.783,0.257,2.67517104114949e-177,"11","Ankrd10",FALSE,FALSE
"Dapk2.5",1.39214582840091e-181,0.347018278135037,0.468,0.101,3.93322960898108e-177,"11","Dapk2",FALSE,FALSE
"Pnkd.6",1.81924450757113e-181,0.397377546048605,0.566,0.14,5.1399115072407e-177,"11","Pnkd",FALSE,FALSE
"Timm13.6",2.23007389093912e-181,0.749050508167361,0.803,0.3,6.3006277640703e-177,"11","Timm13",FALSE,FALSE
"Timm22.3",4.62911247473486e-181,0.305978729552652,0.533,0.126,1.30786314748684e-176,"11","Timm22",FALSE,FALSE
"Galk1.2",6.0955661997545e-179,0.316396773418463,0.436,0.091,1.72218031841664e-174,"11","Galk1",FALSE,FALSE
"Hs2st1.4",6.75849093102649e-179,0.257245896754197,0.437,0.089,1.90947644274292e-174,"11","Hs2st1",FALSE,TRUE
"Sparc.9",5.13892224258707e-178,0.734244295707999,0.843,0.299,1.45189970119812e-173,"11","Sparc",FALSE,FALSE
"Rnf126.3",6.46737016884027e-178,0.391667484966277,0.592,0.153,1.82722609380244e-173,"11","Rnf126",FALSE,FALSE
"Eef1b2.10",1.74552107145646e-177,1.01213923346568,0.902,0.509,4.93162068318592e-173,"11","Eef1b2",FALSE,FALSE
"Atpif1.8",2.55512732399226e-177,0.655471783988176,0.803,0.275,7.21900122847533e-173,"11","Atpif1",FALSE,FALSE
"Mrpl34.3",1.97667261160263e-176,0.278472658804908,0.522,0.121,5.58469312956092e-172,"11","Mrpl34",FALSE,FALSE
"Pgls.6",3.84736132772956e-176,0.521690014722668,0.695,0.207,1.08699499592343e-171,"11","Pgls",FALSE,FALSE
"Erh.10",5.33086397238129e-176,0.827757101280594,0.873,0.374,1.50612899811688e-171,"11","Erh",FALSE,FALSE
"Col1a2.6",2.79637385761001e-175,0.364920789719926,0.452,0.093,7.90059505990556e-171,"11","Col1a2",FALSE,FALSE
"Rhob.8",6.14288733112882e-175,0.562315491813539,0.648,0.184,1.73554995766383e-170,"11","Rhob",FALSE,FALSE
"Cnpy2.6",4.4832807527169e-174,0.432096078585193,0.644,0.177,1.26666131106511e-169,"11","Cnpy2",FALSE,FALSE
"Rnf7.6",2.52531211657846e-173,0.76767373289766,0.798,0.315,7.13476432296913e-169,"11","Rnf7",FALSE,FALSE
"Cap2.6",2.69957311158605e-173,0.286049826726593,0.515,0.117,7.62710391216405e-169,"11","Cap2",FALSE,FALSE
"Mxra7.6",1.6710478854657e-170,0.315787059396205,0.561,0.137,4.72121159080624e-166,"11","Mxra7",FALSE,FALSE
"1110008P14Rik.3",1.02192730371002e-169,0.271286609944978,0.48,0.109,2.88725121117191e-165,"11","1110008P14Rik",FALSE,FALSE
"Gm10073.5",2.60946891632302e-169,0.474109007850262,0.496,0.118,7.37253252928743e-165,"11","Gm10073",FALSE,FALSE
"S100a16.9",7.88300359981518e-169,1.01526500328918,0.765,0.276,2.22718500705578e-164,"11","S100a16",FALSE,FALSE
"Ehd4.4",3.5863149494829e-168,0.415886733787678,0.419,0.09,1.0132415626774e-163,"11","Ehd4",FALSE,FALSE
"Ddb1.6",3.61968333957531e-168,0.532376267884977,0.731,0.235,1.02266913393021e-163,"11","Ddb1",FALSE,FALSE
"S100a6.8",5.76965287099811e-168,1.17059889232333,0.754,0.288,1.6301000256431e-163,"11","S100a6",FALSE,FALSE
"Gnai2.9",2.91408033196488e-167,0.603483545208403,0.765,0.254,8.23315116190038e-163,"11","Gnai2",FALSE,FALSE
"Hnrnpa0.6",8.65031209642684e-167,0.58308171983202,0.623,0.178,2.44397267660347e-162,"11","Hnrnpa0",FALSE,FALSE
"Tomm22.8",9.46045708009473e-167,0.627378028174352,0.767,0.27,2.67286293883916e-162,"11","Tomm22",FALSE,FALSE
"Tbca.10",4.53505489646692e-166,0.719344649855257,0.832,0.341,1.2812890598988e-161,"11","Tbca",FALSE,FALSE
"Timp2.9",3.21742801778677e-165,0.657484030394622,0.697,0.218,9.09019937865297e-161,"11","Timp2",FALSE,FALSE
"Cdk4.9",5.03851132262062e-165,0.637572635937877,0.773,0.27,1.42353060398e-160,"11","Cdk4",FALSE,FALSE
"Acads.1",5.35246659642372e-165,0.264623367841661,0.47,0.106,1.51223238748759e-160,"11","Acads",FALSE,FALSE
"Tmem109.4",1.41090439726607e-164,0.499274686038268,0.713,0.218,3.98622819359583e-160,"11","Tmem109",FALSE,FALSE
"Mrps12.5",2.94088657087291e-163,0.42172589322711,0.648,0.19,8.30888682868724e-159,"11","Mrps12",FALSE,FALSE
"Naa10.4",3.44564704631007e-163,0.330357001102278,0.584,0.154,9.73498659993985e-159,"11","Naa10",FALSE,FALSE
"Tubb2b.9",3.56219600812466e-163,0.61099436230136,0.604,0.169,1.00642723817546e-158,"11","Tubb2b",FALSE,FALSE
"Tmsb10.9",4.04350370864112e-163,1.7534447755969,0.886,0.467,1.14241110280237e-158,"11","Tmsb10",FALSE,FALSE
"Tmem38b.1",3.19869551279659e-162,0.332844460421747,0.551,0.139,9.03727443230421e-158,"11","Tmem38b",FALSE,FALSE
"Mdk.5",1.60667753994163e-161,0.391057533559659,0.385,0.078,4.53934605359709e-157,"11","Mdk",FALSE,FALSE
"Tomm5.9",2.28732716402376e-161,0.601068912865757,0.768,0.266,6.46238543651633e-157,"11","Tomm5",FALSE,FALSE
"Dnajc15.4",4.0445478941459e-161,0.324627632596763,0.566,0.149,1.14270611653304e-156,"11","Dnajc15",FALSE,FALSE
"Capn6.6",2.20262602143756e-160,0.319775477436553,0.396,0.08,6.22307929836755e-156,"11","Capn6",FALSE,FALSE
"Myeov2.5",9.44694366307932e-160,0.743148361997231,0.79,0.303,2.6690449931298e-155,"11","Myeov2",FALSE,FALSE
"Nfu1.4",1.02754641557631e-159,0.370826952958429,0.517,0.132,2.90312688792774e-155,"11","Nfu1",FALSE,FALSE
"Hint2.2",1.97082931964759e-159,0.304210962823727,0.527,0.13,5.56818407680034e-155,"11","Hint2",FALSE,FALSE
"Gpx1.6",2.90421240896794e-159,0.5084443043839,0.6,0.172,8.20527131905713e-155,"11","Gpx1",FALSE,FALSE
"Atp1a1.10",1.38225095933242e-158,0.605616459154637,0.778,0.28,3.90527363540189e-154,"11","Atp1a1",FALSE,TRUE
"Rnf187.6",1.69565810392518e-158,0.475292899517675,0.726,0.232,4.79074284101981e-154,"11","Rnf187",FALSE,FALSE
"Acadl.4",2.199165193663e-158,0.560711467359843,0.732,0.245,6.21330142165608e-154,"11","Acadl",FALSE,FALSE
"Polr2j.3",4.33559856142384e-158,0.406743452439462,0.675,0.201,1.22493666155908e-153,"11","Polr2j",FALSE,FALSE
"Ube2m.5",4.42809772880073e-158,0.475179638913879,0.623,0.183,1.25107045131807e-153,"11","Ube2m",FALSE,FALSE
"Snrpe.10",5.30680446023611e-158,0.70382598865051,0.847,0.346,1.49933146415051e-153,"11","Snrpe",FALSE,FALSE
"Cmpk1.3",6.00808550663812e-158,0.267246942262676,0.545,0.139,1.69746439819047e-153,"11","Cmpk1",FALSE,FALSE
"Dcakd.4",1.96594277467423e-157,0.29037619042876,0.468,0.11,5.5543781212871e-153,"11","Dcakd",FALSE,FALSE
"Bst2.6",2.88506671576613e-157,0.402750167279538,0.468,0.111,8.15117899205405e-153,"11","Bst2",FALSE,TRUE
"Vim.8",4.7566549923242e-157,0.970105230924713,0.861,0.397,1.34389773498136e-152,"11","Vim",FALSE,FALSE
"Apoa1bp.2",5.15013141658899e-157,0.283166874428822,0.52,0.128,1.45506662912889e-152,"11","Apoa1bp",FALSE,FALSE
"Idh2.7",7.22575210433862e-157,0.539899443762388,0.713,0.23,2.04149174203879e-152,"11","Idh2",FALSE,FALSE
"Cdh2.4",7.39000468152948e-157,0.285996993426735,0.31,0.056,2.08789802267252e-152,"11","Cdh2",FALSE,TRUE
"Polr2e.8",2.12201103120243e-156,0.494758272499071,0.69,0.218,5.99531776645621e-152,"11","Polr2e",FALSE,FALSE
"Rala.6",2.64575961003478e-156,0.42014536016477,0.643,0.191,7.47506462623127e-152,"11","Rala",FALSE,FALSE
"Krcc1.3",2.10326513457173e-155,0.314405795055079,0.556,0.145,5.9423549847055e-151,"11","Krcc1",FALSE,FALSE
"Smim11.4",9.85440436537681e-155,0.451305400614721,0.692,0.221,2.78416486534991e-150,"11","Smim11",FALSE,FALSE
"Taldo1.6",1.20483467176304e-154,0.448080160991792,0.724,0.237,3.40401939813212e-150,"11","Taldo1",FALSE,FALSE
"Bod1.4",1.8043000596735e-154,0.3134622071658,0.514,0.13,5.09768895859555e-150,"11","Bod1",FALSE,FALSE
"Arl6ip5.9",3.30844787049829e-154,0.733601301060084,0.816,0.334,9.34735776851883e-150,"11","Arl6ip5",FALSE,FALSE
"Ostc.8",6.08324326352656e-154,0.407801298210678,0.656,0.195,1.71869871924416e-149,"11","Ostc",FALSE,FALSE
"Nudt21.9",4.53969715552709e-153,0.413956026620135,0.672,0.202,1.28260063735107e-148,"11","Nudt21",FALSE,FALSE
"Iqsec3.5",6.16540992135273e-153,0.303690633705187,0.409,0.089,1.74191326507979e-148,"11","Iqsec3",FALSE,FALSE
"Coa3.3",1.11882092586396e-152,0.311802359280934,0.581,0.158,3.16100476184345e-148,"11","Coa3",FALSE,FALSE
"Tsfm.3",2.4292561182624e-152,0.275852018924761,0.473,0.115,6.86337731092677e-148,"11","Tsfm",FALSE,FALSE
"Vamp8.4",8.60006577323157e-152,0.303998323108385,0.457,0.108,2.42977658291112e-147,"11","Vamp8",FALSE,FALSE
"Inppl1.8",5.98939726127562e-151,0.395719239980884,0.586,0.16,1.6921844082282e-146,"11","Inppl1",FALSE,FALSE
"Eif2s3x.5",9.30451692412408e-151,0.361234924049342,0.584,0.163,2.62880516657278e-146,"11","Eif2s3x",FALSE,FALSE
"Tmem55a.2",9.52058011889386e-151,0.294630868571095,0.431,0.099,2.68984950099108e-146,"11","Tmem55a",FALSE,FALSE
"Pfn1.10",1.76132151696568e-150,0.916867430151479,0.915,0.56,4.97626168188314e-146,"11","Pfn1",FALSE,FALSE
"Mrps18c.4",2.07488071320408e-150,0.27999566575746,0.515,0.132,5.8621604790155e-146,"11","Mrps18c",FALSE,FALSE
"Prkaca.2",6.24836760049978e-150,0.296178492590846,0.532,0.138,1.7653512981692e-145,"11","Prkaca",FALSE,FALSE
"Rcn1.8",9.06094915261546e-150,0.372096066009716,0.592,0.166,2.55998996408845e-145,"11","Rcn1",FALSE,FALSE
"Rpsa-ps10.5",1.12039897085834e-149,0.35384273231232,0.401,0.089,3.16546321236607e-145,"11","Rpsa-ps10",FALSE,FALSE
"1110038F14Rik.3",1.14115520883648e-149,0.330462123966199,0.571,0.158,3.2241058115257e-145,"11","1110038F14Rik",FALSE,FALSE
"Trnau1ap.2",2.8171754970557e-149,0.361488129536036,0.594,0.169,7.95936593183146e-145,"11","Trnau1ap",FALSE,FALSE
"Akt1.4",2.96074615515205e-149,0.353676655528694,0.533,0.144,8.36499611215108e-145,"11","Akt1",FALSE,FALSE
"Kdelr1.6",4.94328261532511e-149,0.3533260981189,0.635,0.183,1.3966256373078e-144,"11","Kdelr1",FALSE,FALSE
"Glrx5.6",5.87233288129483e-149,0.427765945119597,0.687,0.218,1.65911020895223e-144,"11","Glrx5",FALSE,FALSE
"Snrpb2.9",3.04612184182162e-148,0.426664358808767,0.705,0.224,8.60620803969863e-144,"11","Snrpb2",FALSE,FALSE
"Ndufc2.5",7.04805340594571e-148,0.609908993952023,0.822,0.329,1.99128652878184e-143,"11","Ndufc2",FALSE,FALSE
"Mrpl18.3",1.21931539176333e-147,0.310321170355726,0.641,0.19,3.44493177634892e-143,"11","Mrpl18",FALSE,FALSE
"Spats2l.7",2.29587629769378e-147,0.477779035424146,0.548,0.15,6.48653930387424e-143,"11","Spats2l",FALSE,FALSE
"Tmem258.8",2.92325050267545e-147,0.552607767939542,0.757,0.273,8.25905964520896e-143,"11","Tmem258",FALSE,FALSE
"Cops6.5",3.03924367714985e-147,0.471801706902985,0.703,0.229,8.58677516105147e-143,"11","Cops6",FALSE,FALSE
"Hmgn2.8",5.2627049217796e-147,0.519775874892274,0.716,0.234,1.48687202155039e-142,"11","Hmgn2",FALSE,FALSE
"Mrps33.6",5.92781399290006e-147,0.484284424926011,0.762,0.268,1.67478528741405e-142,"11","Mrps33",FALSE,FALSE
"Rbm3.10",8.07120198397357e-147,0.815065119574097,0.896,0.495,2.28035669653205e-142,"11","Rbm3",FALSE,FALSE
"Klhl22",1.05455481824032e-146,0.262593505602079,0.339,0.067,2.97943372797436e-142,"11","Klhl22",FALSE,FALSE
"Amotl2",1.58612161904841e-146,0.281750761964294,0.401,0.088,4.48126941029746e-142,"11","Amotl2",FALSE,FALSE
"Uba3",2.05371935936753e-146,0.265323420428258,0.509,0.131,5.80237330602109e-142,"11","Uba3",FALSE,FALSE
"Alyref.8",2.1919017210174e-146,0.392281416294776,0.651,0.198,6.19277993239047e-142,"11","Alyref",FALSE,FALSE
"St3gal5.3",2.36759744001166e-146,0.334444454226717,0.591,0.161,6.68917304726493e-142,"11","St3gal5",FALSE,TRUE
"Calm3.5",2.44136579883585e-146,0.424178860991699,0.674,0.212,6.89759079145094e-142,"11","Calm3",FALSE,FALSE
"Cdh15.8",4.47880539297785e-146,0.504510995177961,0.736,0.244,1.26539688767803e-141,"11","Cdh15",FALSE,TRUE
"Sdhd.4",5.01548661036509e-146,0.542428179268359,0.732,0.26,1.41702543202645e-141,"11","Sdhd",FALSE,FALSE
"Cacng1.8",2.17648593659849e-145,0.491671555409217,0.52,0.139,6.14922571667171e-141,"11","Cacng1",FALSE,FALSE
"Hmgn3.4",2.50456668953617e-145,0.278492914988128,0.411,0.092,7.07615226794655e-141,"11","Hmgn3",FALSE,FALSE
"Fam96a.3",5.05824796129052e-145,0.265553966465652,0.483,0.122,1.42910679650341e-140,"11","Fam96a",FALSE,FALSE
"Cstb.10",6.29792190097459e-145,0.563900684434589,0.747,0.261,1.77935187468235e-140,"11","Cstb",FALSE,FALSE
"Stoml2.4",1.51911530274117e-144,0.348808120126924,0.6,0.174,4.29195646483462e-140,"11","Stoml2",FALSE,FALSE
"Cyb5r3.7",1.77623282507136e-144,0.348182244909474,0.604,0.174,5.0183906006741e-140,"11","Cyb5r3",FALSE,FALSE
"Actn1.8",4.95536439086245e-144,0.42238497229965,0.543,0.151,1.40003910135037e-139,"11","Actn1",FALSE,FALSE
"Rps20.10",5.68236052733962e-144,0.815244714098467,0.927,0.592,1.60543731978926e-139,"11","Rps20",FALSE,FALSE
"Ilkap.1",7.85993315404464e-144,0.355296652999517,0.641,0.193,2.22066691401223e-139,"11","Ilkap",FALSE,FALSE
"Fundc2.5",8.05719977773069e-144,0.480582215167691,0.77,0.27,2.27640065320225e-139,"11","Fundc2",FALSE,FALSE
"Lsm5.6",3.23819011920625e-143,0.444409140230374,0.677,0.218,9.14885854379342e-139,"11","Lsm5",FALSE,FALSE
"1110038B12Rik.10",8.98370450329085e-143,0.458777467829974,0.697,0.226,2.53816603331476e-138,"11","1110038B12Rik",FALSE,FALSE
"Smim20.1",1.01473737940183e-142,0.293450161331118,0.525,0.14,2.86693751802399e-138,"11","Smim20",FALSE,FALSE
"Abhd17a.1",1.32149525515796e-142,0.258836714368148,0.53,0.14,3.73362054439777e-138,"11","Abhd17a",FALSE,FALSE
"Dbi.6",1.40894731423048e-142,0.597695129693803,0.793,0.311,3.98069884689539e-138,"11","Dbi",FALSE,FALSE
"Nedd8.8",2.60661554778015e-142,0.633476248568788,0.821,0.349,7.36447090714326e-138,"11","Nedd8",FALSE,FALSE
"Akirin2.3",4.50470017379644e-142,0.388879245129563,0.688,0.217,1.27271294010271e-137,"11","Akirin2",FALSE,FALSE
"Lman2.8",1.25025672607387e-141,0.389037490454275,0.69,0.219,3.53235032817649e-137,"11","Lman2",FALSE,TRUE
"Rps12-ps3.6",2.12118022716377e-141,0.53299709880706,0.53,0.151,5.99297049580579e-137,"11","Rps12-ps3",FALSE,FALSE
"Ccnd1.6",4.11311571478219e-141,0.427917932875199,0.403,0.093,1.16207858289741e-136,"11","Ccnd1",FALSE,FALSE
"Tuba1a.9",5.21240795097443e-141,0.758422426137576,0.741,0.275,1.47266161838881e-136,"11","Tuba1a",FALSE,FALSE
"Akr1a1.8",5.36872166797718e-141,0.586496399891075,0.843,0.342,1.51682493285359e-136,"11","Akr1a1",FALSE,FALSE
"Ap2s1.5",9.76079689278524e-141,0.337356392336119,0.599,0.175,2.75771794611861e-136,"11","Ap2s1",FALSE,FALSE
"Tmco1.3",2.70641005964966e-140,0.302229385353578,0.591,0.17,7.64642034152817e-136,"11","Tmco1",FALSE,FALSE
"Ssna1",3.35160595240165e-140,0.260702434716797,0.515,0.136,9.46929229732038e-136,"11","Ssna1",FALSE,FALSE
"Chmp5.3",3.81605572826531e-140,0.320887876404269,0.561,0.158,1.0781502249068e-135,"11","Chmp5",FALSE,FALSE
"Ngfrap1.6",3.92825225345359e-140,0.323936154493508,0.45,0.11,1.10984910916824e-135,"11","Ngfrap1",FALSE,FALSE
"Lsm14a.2",4.23153147086027e-140,0.367624980923748,0.649,0.201,1.19553458646215e-135,"11","Lsm14a",FALSE,FALSE
"Dtymk.7",9.0525327391312e-140,0.410297378601959,0.625,0.193,2.55761207478674e-135,"11","Dtymk",FALSE,FALSE
"Dynll1.9",9.1684839051098e-140,0.754910883950545,0.873,0.432,2.59037175771067e-135,"11","Dynll1",FALSE,FALSE
"Maea.1",2.1767233041627e-139,0.263593266047275,0.504,0.133,6.14989635125087e-135,"11","Maea",FALSE,FALSE
"Slc25a5.10",2.55942081195533e-139,0.762849557429381,0.896,0.455,7.2311316200174e-135,"11","Slc25a5",FALSE,FALSE
"Marcks.9",3.06903243954897e-139,0.422897357277259,0.618,0.181,8.67093735145771e-135,"11","Marcks",FALSE,FALSE
"Snrpf.10",3.09459336702395e-139,0.678788397246709,0.886,0.426,8.74315463985278e-135,"11","Snrpf",FALSE,FALSE
"Mettl9.7",3.94710295669577e-139,0.31382032021137,0.587,0.169,1.11517499835526e-134,"11","Mettl9",FALSE,TRUE
"Ndufa4.6",3.99482298393489e-139,0.609742915942102,0.871,0.422,1.12865733765113e-134,"11","Ndufa4",FALSE,FALSE
"Magohb.1",4.38600530248016e-139,0.251367497979912,0.478,0.122,1.23917807810972e-134,"11","Magohb",FALSE,FALSE
"Stam.1",1.96813131269387e-138,0.257717778021537,0.413,0.097,5.560561397754e-134,"11","Stam",FALSE,FALSE
"Cnih1.7",2.26145835748869e-138,0.317123170566405,0.586,0.17,6.38929829741278e-134,"11","Cnih1",FALSE,FALSE
"Mtch1.7",3.84523397192069e-138,0.467568870731483,0.724,0.245,1.08639395408675e-133,"11","Mtch1",FALSE,FALSE
"Psmg3.1",4.4690865443171e-138,0.287079263849534,0.444,0.109,1.26265102136591e-133,"11","Psmg3",FALSE,FALSE
"Sdpr.10",8.05731873498944e-138,0.479125626686087,0.646,0.198,2.27643426219657e-133,"11","Sdpr",FALSE,FALSE
"Cox6a1.10",8.66396011888265e-138,0.697046436186137,0.876,0.404,2.44782865238792e-133,"11","Cox6a1",FALSE,FALSE
"Myod1.6",1.44958243217722e-137,0.428991781553074,0.799,0.287,4.0955052456303e-133,"11","Myod1",TRUE,FALSE
"Dynlrb1.7",1.77480259973588e-137,0.550471113565893,0.793,0.307,5.01434978503379e-133,"11","Dynlrb1",FALSE,FALSE
"Anxa1.9",5.23152140953658e-137,0.434383966521707,0.533,0.149,1.47806174383637e-132,"11","Anxa1",FALSE,FALSE
"Rdh5.2",7.20276765385182e-137,0.297924415693742,0.338,0.071,2.03499794524276e-132,"11","Rdh5",FALSE,FALSE
"Mrps16.5",8.42014901564932e-137,0.373350250562518,0.617,0.192,2.3789447013914e-132,"11","Mrps16",FALSE,FALSE
"Atp5o.7",8.45301523877455e-137,0.619475681830539,0.871,0.429,2.38823039541097e-132,"11","Atp5o",FALSE,FALSE
"Uchl3.3",9.20414925676702e-137,0.312113646217267,0.538,0.15,2.60044828951439e-132,"11","Uchl3",FALSE,FALSE
"Rrp7a.1",1.60622143285677e-136,0.254452829422988,0.483,0.125,4.53805741425024e-132,"11","Rrp7a",FALSE,FALSE
"Grb10.6",1.694529822386e-136,0.457439372265951,0.69,0.23,4.78755510718715e-132,"11","Grb10",FALSE,FALSE
"Atp5c1.7",2.07854413089113e-136,0.614367667984383,0.871,0.428,5.87251073300672e-132,"11","Atp5c1",FALSE,FALSE
"Gm5428.5",4.23977842209931e-136,0.371395090639317,0.434,0.107,1.19786459759572e-131,"11","Gm5428",FALSE,FALSE
"Ddah2.7",4.4626992208205e-136,0.321711779578372,0.529,0.141,1.26084641085842e-131,"11","Ddah2",FALSE,FALSE
"Plod2.2",7.30495474993789e-136,0.285666185009202,0.434,0.106,2.06386886549995e-131,"11","Plod2",FALSE,TRUE
"Plin3.1",8.344332671983e-136,0.399379784104479,0.494,0.131,2.35752430981536e-131,"11","Plin3",FALSE,FALSE
"Eno1.9",1.07433390096099e-135,0.71605264944239,0.809,0.332,3.03531557038508e-131,"11","Eno1",TRUE,TRUE
"Polr2g.2",2.65725316634103e-135,0.33013220854489,0.573,0.169,7.5075373708633e-131,"11","Polr2g",FALSE,FALSE
"Banf1.8",4.20614608885055e-135,0.501696665901221,0.716,0.255,1.18836245448295e-130,"11","Banf1",FALSE,FALSE
"1810009A15Rik.6",9.36380282269702e-135,0.36599973631899,0.569,0.165,2.64555521149659e-130,"11","1810009A15Rik",FALSE,FALSE
"Dpy30.2",1.09763535402078e-134,0.271924736541125,0.556,0.155,3.10114916571492e-130,"11","Dpy30",FALSE,FALSE
"Chchd10.10",1.36080878162332e-134,-0.33266617738708,0.553,0.149,3.84469305072035e-130,"11","Chchd10",FALSE,FALSE
"2010107E04Rik.6",1.37181456280797e-134,0.537860079971682,0.861,0.41,3.87578768430137e-130,"11","2010107E04Rik",FALSE,FALSE
"Tubb5.8",1.68395975136379e-134,0.658806240197238,0.721,0.263,4.75769148552811e-130,"11","Tubb5",FALSE,TRUE
"C1qbp.10",1.83363834993728e-134,0.606788050433478,0.825,0.342,5.18057843007778e-130,"11","C1qbp",FALSE,FALSE
"Ndufs8.5",2.05335813369956e-134,0.400901465015962,0.742,0.257,5.80135273514136e-130,"11","Ndufs8",FALSE,FALSE
"Mrpl11.2",2.43923740529192e-134,0.316146325325872,0.55,0.159,6.89157744117126e-130,"11","Mrpl11",FALSE,FALSE
"Ict1.5",3.51789482004961e-134,0.286629839066271,0.584,0.17,9.93910823508617e-130,"11","Ict1",FALSE,FALSE
"Pgp.2",3.61026052549002e-134,0.349008023574427,0.577,0.171,1.0200069062667e-129,"11","Pgp",FALSE,FALSE
"Id1.6",5.19135559084509e-134,0.533491418664517,0.566,0.172,1.46671369508146e-129,"11","Id1",TRUE,FALSE
"Rpl22.10",7.2428876676484e-133,0.706795683152034,0.917,0.55,2.0463330527407e-128,"11","Rpl22",FALSE,FALSE
"Rpl30.10",8.13055592761064e-133,0.751185180429518,0.915,0.585,2.29712596622783e-128,"11","Rpl30",FALSE,FALSE
"Armcx2.4",9.51547126667722e-133,0.267238320367512,0.436,0.107,2.68840609697432e-128,"11","Armcx2",FALSE,TRUE
"Atp5g3.6",1.03966067587193e-132,0.63563137139064,0.843,0.402,2.93735330754095e-128,"11","Atp5g3",FALSE,FALSE
"Gm6472.6",1.97837374387165e-132,0.507909535390202,0.53,0.154,5.58949933856058e-128,"11","Gm6472",FALSE,FALSE
"Tubb6.9",2.40758633802231e-132,0.746409472153244,0.752,0.3,6.80215368081445e-128,"11","Tubb6",FALSE,TRUE
"Sox8.3",4.59700664916836e-132,0.276126272566747,0.214,0.033,1.29879228858954e-127,"11","Sox8",TRUE,FALSE
"Gnb2.8",4.9180409951539e-132,0.601028210530165,0.804,0.343,1.38949412236083e-127,"11","Gnb2",FALSE,FALSE
"Sh3bgrl3.7",9.25855479756197e-132,0.319734281292931,0.56,0.162,2.61581948695518e-127,"11","Sh3bgrl3",FALSE,FALSE
"Rab5c",9.87713154075701e-132,0.335519427288316,0.587,0.176,2.79058597421008e-127,"11","Rab5c",FALSE,FALSE
"Dut.5",1.08458763376933e-131,0.262412047718971,0.401,0.096,3.06428544168849e-127,"11","Dut",FALSE,FALSE
"H2afv.8",2.50197955043484e-131,0.479216073895571,0.742,0.26,7.06884282384355e-127,"11","H2afv",FALSE,FALSE
"Tsen34.5",3.35326709605676e-131,0.294513530068128,0.582,0.171,9.47398552648916e-127,"11","Tsen34",FALSE,FALSE
"P4hb.6",3.58471283965797e-131,0.372244446550044,0.643,0.204,1.01278891858856e-126,"11","P4hb",FALSE,FALSE
"Tspo.9",4.66529972332683e-131,0.603696638585005,0.693,0.248,1.31808713083153e-126,"11","Tspo",FALSE,FALSE
"Rpl9-ps6.5",6.37454218900704e-131,0.352010021721314,0.434,0.109,1.80099940466016e-126,"11","Rpl9-ps6",FALSE,FALSE
"Midn.2",6.63808250321009e-131,0.261557236201244,0.548,0.152,1.87545744963195e-126,"11","Midn",FALSE,FALSE
"Blmh.1",1.61225391773631e-130,0.265198996699208,0.517,0.143,4.55510099378041e-126,"11","Blmh",FALSE,FALSE
"Dctn3.3",2.99435254059589e-130,0.31949896289708,0.622,0.193,8.45994423294556e-126,"11","Dctn3",FALSE,FALSE
"Serpinf1.6",4.30065442083682e-130,0.306914008540345,0.437,0.108,1.21506389351903e-125,"11","Serpinf1",FALSE,FALSE
"Itga7.5",9.43239268916899e-130,0.372106119833534,0.599,0.183,2.66493390647091e-125,"11","Itga7",FALSE,TRUE
"Gtf3c6.1",9.44260027347688e-130,0.258634620795437,0.449,0.116,2.66781785526542e-125,"11","Gtf3c6",FALSE,FALSE
"Mrpl27.3",1.04320485970845e-129,0.255826453989206,0.512,0.142,2.9473666901343e-125,"11","Mrpl27",FALSE,FALSE
"Ppdpf.1",1.27294447305266e-129,0.260536735357546,0.551,0.157,3.59645001971568e-125,"11","Ppdpf",FALSE,FALSE
"Taf10.3",1.63780265566645e-129,0.354345717580173,0.594,0.184,4.62728384305442e-125,"11","Taf10",FALSE,FALSE
"Agpat3.5",9.48845337512518e-129,0.3567388726594,0.612,0.192,2.68077273207412e-124,"11","Agpat3",FALSE,FALSE
"Clcn5.6",2.2228021954024e-128,0.279620887055509,0.463,0.12,6.28008304267041e-124,"11","Clcn5",FALSE,TRUE
"Polr2f.9",4.62383624143221e-128,0.484096617923705,0.728,0.262,1.30637245329184e-123,"11","Polr2f",FALSE,FALSE
"Adh5.5",5.01019697960948e-128,0.346705640115686,0.602,0.186,1.41553095264907e-123,"11","Adh5",FALSE,FALSE
