"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","is.trascr.factor","is.surface.protein"
"Nop16",3.02774036245297e-254,1.04349604593603,0.936,0.191,8.55427484603838e-250,"1","Nop16",FALSE,FALSE
"Nop2",5.66793280641085e-254,0.808012546628423,0.856,0.149,1.60136105579526e-249,"1","Nop2",FALSE,FALSE
"Hmga1",4.95886863223919e-253,0.522788424388151,0.605,0.075,1.40102915466654e-248,"1","Hmga1",TRUE,FALSE
"Rsl24d1",6.8790507256752e-253,1.25384979340105,0.96,0.232,1.94353820152502e-248,"1","Rsl24d1",FALSE,FALSE
"Srfbp1",1.96996065159621e-252,0.496008061624586,0.642,0.083,5.56572982895478e-248,"1","Srfbp1",FALSE,FALSE
"Gtf2f2",7.17749565335539e-252,0.72143780977623,0.749,0.117,2.0278578469425e-247,"1","Gtf2f2",FALSE,FALSE
"Lars",1.17312406653369e-251,1.10594424045965,0.957,0.207,3.31442742517763e-247,"1","Lars",FALSE,FALSE
"Tma16",6.58172980849783e-251,0.934517498787827,0.893,0.168,1.85953612279489e-246,"1","Tma16",FALSE,FALSE
"Polr3g",2.9849864577778e-250,0.466205194511492,0.515,0.056,8.43348223915963e-246,"1","Polr3g",FALSE,FALSE
"Tsr2",6.58349061794663e-250,0.648546833486303,0.773,0.12,1.86003360428846e-245,"1","Tsr2",FALSE,FALSE
"Ero1l",3.44581531051957e-248,0.721775871332526,0.706,0.104,9.73546199681093e-244,"1","Ero1l",FALSE,TRUE
"Nmd3",3.80492069019908e-247,1.06401327670345,0.933,0.197,1.07500424260195e-242,"1","Nmd3",FALSE,FALSE
"Orc2",9.81912322874047e-247,0.686688702918855,0.729,0.112,2.77419688581605e-242,"1","Orc2",FALSE,FALSE
"Gar1",4.91136338329842e-245,1.20269939307005,0.97,0.236,1.3876074966833e-240,"1","Gar1",FALSE,FALSE
"Mki67ip",3.66009406253355e-244,1.11992821108278,0.963,0.217,1.0340863754876e-239,"1","Mki67ip",FALSE,FALSE
"Abcf2",8.8672715827826e-244,1.06434200369312,0.953,0.21,2.50527024028357e-239,"1","Abcf2",FALSE,FALSE
"Rrp9",1.50890150007938e-243,1.13523308491553,0.963,0.213,4.26309940817427e-239,"1","Rrp9",FALSE,FALSE
"Ccdc86",5.02174572031735e-243,0.889332904716422,0.93,0.187,1.41879381836126e-238,"1","Ccdc86",FALSE,FALSE
"Nop14",2.21688919791038e-242,1.22766943694435,0.977,0.234,6.26337705085621e-238,"1","Nop14",FALSE,FALSE
"Mtfr1",1.48371088419688e-240,0.631273812283523,0.659,0.094,4.19192836112145e-236,"1","Mtfr1",FALSE,FALSE
"Spata5",2.43166084706837e-240,0.686375494468743,0.793,0.129,6.87017139122227e-236,"1","Spata5",FALSE,FALSE
"Clns1a",3.54025313695777e-240,0.859239988587883,0.89,0.175,1.00022771878468e-235,"1","Clns1a",FALSE,FALSE
"Trim27",1.22395962679402e-237,0.810821940376585,0.853,0.16,3.45805313358115e-233,"1","Trim27",FALSE,FALSE
"Wdr75",4.71705609907536e-237,0.804844895558511,0.863,0.158,1.33270985967176e-232,"1","Wdr75",FALSE,FALSE
"Slc2a1",9.88708210643927e-237,0.561445916771088,0.609,0.08,2.79339730753229e-232,"1","Slc2a1",FALSE,TRUE
"Cct6a",3.897349027259e-236,1.0538790580552,0.977,0.221,1.10111802067149e-231,"1","Cct6a",FALSE,FALSE
"Hax1",9.72730181603888e-236,0.985062513831642,0.89,0.187,2.74825458208546e-231,"1","Hax1",FALSE,FALSE
"Polr3h",3.1159821497269e-235,0.712597679808147,0.732,0.118,8.80358436762341e-231,"1","Polr3h",FALSE,FALSE
"Eif2s1",2.92440439606641e-233,1.25874356821148,0.977,0.257,8.26231974020642e-229,"1","Eif2s1",FALSE,FALSE
"Tspan4",4.38944721568191e-233,0.916052892009362,0.873,0.168,1.24015052184661e-228,"1","Tspan4",FALSE,FALSE
"Zfp593",8.43438808442229e-233,0.811647890960054,0.883,0.169,2.38296766549183e-228,"1","Zfp593",FALSE,FALSE
"Plaur",9.98454141033029e-233,1.13360310208981,0.833,0.158,2.82093248466062e-228,"1","Plaur",FALSE,TRUE
"Exosc1",4.23832492889399e-231,0.729154507241296,0.806,0.142,1.19745394216042e-226,"1","Exosc1",FALSE,FALSE
"Srprb",1.53814388467166e-230,0.664030863165558,0.759,0.127,4.34571791736284e-226,"1","Srprb",FALSE,FALSE
"Surf2",2.90085546754199e-230,0.778827886122566,0.826,0.152,8.19578695244637e-226,"1","Surf2",FALSE,FALSE
"Yars",4.1680585772362e-229,0.890158045747439,0.926,0.19,1.17760158982654e-224,"1","Yars",FALSE,FALSE
"Hsd17b12",1.25004657107836e-228,0.902359228578803,0.853,0.165,3.5317565772677e-224,"1","Hsd17b12",FALSE,FALSE
"Pes1",1.43293195483447e-228,0.883761176875461,0.863,0.172,4.04846265199383e-224,"1","Pes1",FALSE,FALSE
"Cmss1",2.33562532753528e-228,0.593949648978628,0.666,0.098,6.59884223788542e-224,"1","Cmss1",FALSE,FALSE
"Kti12",2.42670008698766e-228,0.714434038874449,0.866,0.161,6.85615575576622e-224,"1","Kti12",FALSE,FALSE
"Thumpd1",3.09018456053327e-228,0.6613219104978,0.753,0.126,8.73069843887463e-224,"1","Thumpd1",FALSE,FALSE
"D19Bwg1357e",5.32129149324054e-228,0.872628514983832,0.906,0.183,1.50342448558525e-223,"1","D19Bwg1357e",FALSE,FALSE
"Ebna1bp2",6.53099733803855e-228,1.20823029999654,0.987,0.259,1.84520267791603e-223,"1","Ebna1bp2",FALSE,FALSE
"Pycr2",2.24554357794937e-227,0.773001467783712,0.789,0.14,6.34433427078037e-223,"1","Pycr2",FALSE,FALSE
"Rrp1b",4.62987009368549e-227,0.665490946731154,0.833,0.145,1.30807719756896e-222,"1","Rrp1b",FALSE,FALSE
"Trmt10c",5.90901317146406e-227,0.843458325039484,0.849,0.163,1.66947349133374e-222,"1","Trmt10c",FALSE,FALSE
"Taf9",2.27622205229854e-226,0.945537794015555,0.923,0.197,6.43101016435907e-222,"1","Taf9",FALSE,FALSE
"Ftsj3",2.74000610867684e-226,0.964637655869695,0.93,0.203,7.74133925884466e-222,"1","Ftsj3",FALSE,FALSE
"Yrdc",4.7983816821605e-226,0.998690523158363,0.94,0.211,1.35568677666081e-221,"1","Yrdc",FALSE,FALSE
"Wdr74",6.6150976119741e-226,0.764922114342075,0.873,0.168,1.86896352831104e-221,"1","Wdr74",FALSE,FALSE
"Eif3c",6.40736108262475e-225,1.66523670451049,0.993,0.35,1.81027172667397e-220,"1","Eif3c",FALSE,FALSE
"Fosl1",3.27626588862505e-223,1.19842767400947,0.983,0.237,9.25643401513235e-219,"1","Fosl1",TRUE,FALSE
"Nsun2",5.86279151004713e-223,1.07365842439446,0.963,0.229,1.65641448533361e-218,"1","Nsun2",FALSE,FALSE
"Ctps",6.76389429681188e-222,0.738717786509658,0.813,0.149,1.91100305567826e-217,"1","Ctps",FALSE,FALSE
"Nars",1.10460050322584e-221,1.66092289080768,0.99,0.35,3.12082780176397e-217,"1","Nars",FALSE,FALSE
"Ifrd2",9.57232358143829e-221,0.750374261781194,0.866,0.165,2.70446858146376e-216,"1","Ifrd2",FALSE,FALSE
"Grwd1",2.32252115684813e-220,0.720927771698909,0.823,0.151,6.56181902444302e-216,"1","Grwd1",FALSE,FALSE
"Fam203a",2.03351957182429e-219,0.464361402593489,0.559,0.073,5.74530284627517e-215,"1","Fam203a",FALSE,FALSE
"Angptl4",2.2855908772173e-219,1.18987569227775,0.846,0.176,6.45747990540203e-215,"1","Angptl4",FALSE,TRUE
"Dimt1",2.66292163629594e-219,0.620409912985599,0.766,0.131,7.52355249902691e-215,"1","Dimt1",FALSE,FALSE
"Pitpnb",2.50205076056522e-218,0.85040617428777,0.926,0.201,7.06904401382491e-214,"1","Pitpnb",FALSE,FALSE
"Wdr4",4.24377855233332e-218,0.551515020369964,0.679,0.104,1.19899475439073e-213,"1","Wdr4",FALSE,FALSE
"Exosc7",6.01426787501289e-218,0.618609814422012,0.753,0.129,1.69921110272739e-213,"1","Exosc7",FALSE,FALSE
"Wdr12",1.28606195927164e-217,0.794531940115938,0.903,0.181,3.63351085353016e-213,"1","Wdr12",FALSE,FALSE
"Bax",2.3284690385556e-217,1.36549146113315,0.973,0.275,6.57862357463115e-213,"1","Bax",FALSE,FALSE
"Xrcc6",4.34340890275691e-217,0.462001096182036,0.582,0.079,1.22714331729591e-212,"1","Xrcc6",FALSE,FALSE
"Agpat5",7.40142026320166e-217,1.23378651128916,0.98,0.261,2.09112326696237e-212,"1","Agpat5",FALSE,FALSE
"Slc3a2",1.28687360916336e-216,1.59819903406031,0.99,0.333,3.63580400796925e-212,"1","Slc3a2",FALSE,TRUE
"Tuba1c",1.74585058393477e-216,1.02823678925518,0.946,0.207,4.93255165479089e-212,"1","Tuba1c",FALSE,FALSE
"Pa2g4",4.83337079696344e-216,1.37931184764551,0.99,0.317,1.36557225126608e-211,"1","Pa2g4",TRUE,TRUE
"Brix1",1.00148172788689e-215,1.02166610983486,0.953,0.233,2.82948632579882e-211,"1","Brix1",FALSE,FALSE
"Prmt3",1.44712892178917e-215,0.582204521987196,0.749,0.127,4.08857334273094e-211,"1","Prmt3",FALSE,FALSE
"Sdad1",1.70376052133267e-215,0.714591335298545,0.853,0.162,4.81363460092119e-211,"1","Sdad1",FALSE,FALSE
"Csf2",1.82992607363807e-213,0.579265493578381,0.157,0.006,5.17009013584963e-209,"1","Csf2",FALSE,FALSE
"Hmox1",1.32009829183901e-212,1.51012177717778,0.983,0.259,3.72967370393276e-208,"1","Hmox1",FALSE,FALSE
"Anp32b",1.32021923308257e-212,1.6001446100609,0.987,0.369,3.7300153992282e-208,"1","Anp32b",FALSE,FALSE
"Ddx18",3.27734460491344e-212,1.08601056795022,0.967,0.245,9.25948171226193e-208,"1","Ddx18",FALSE,FALSE
"Ubqln1",8.52666398359404e-212,0.889591509680305,0.91,0.202,2.40903837528483e-207,"1","Ubqln1",FALSE,FALSE
"Fxyd5",2.11052184527809e-211,0.700164338474484,0.522,0.068,5.96285736946418e-207,"1","Fxyd5",FALSE,FALSE
"Prps1",1.09213498552545e-210,0.748378524419791,0.829,0.162,3.08560897460505e-206,"1","Prps1",FALSE,FALSE
"Heatr1",2.22198001118971e-210,0.547486103367429,0.619,0.091,6.27776012561428e-206,"1","Heatr1",FALSE,FALSE
"Chchd4",3.03374920175782e-210,0.836269913377192,0.863,0.182,8.57125161972638e-206,"1","Chchd4",FALSE,FALSE
"Pus7",5.80397545145664e-210,0.664000456261082,0.799,0.147,1.63979718430004e-205,"1","Pus7",FALSE,FALSE
"Nol12",7.75286587985245e-210,0.727583431621413,0.833,0.165,2.19041719703471e-205,"1","Nol12",FALSE,FALSE
"Myod1",9.42010161956937e-210,1.4483761860571,0.987,0.289,2.66146131057694e-205,"1","Myod1",TRUE,FALSE
"Rpl7l1",5.45167767298547e-208,1.05918843436645,0.967,0.253,1.54026249294859e-203,"1","Rpl7l1",FALSE,FALSE
"Gm11974",3.2037049497923e-207,0.860551739278117,0.87,0.181,9.05142759464819e-203,"1","Gm11974",FALSE,FALSE
"Cars",1.45971625025618e-206,0.745565383885558,0.839,0.163,4.12413632184877e-202,"1","Cars",FALSE,FALSE
"Ddit4",1.65156448404692e-206,0.814198529783991,0.749,0.135,4.66616513677776e-202,"1","Ddit4",FALSE,FALSE
"Crcp",2.33351593624671e-206,0.559799574729503,0.639,0.1,6.59288257467782e-202,"1","Crcp",FALSE,FALSE
"Ece2",4.31084439687063e-206,0.516969557291228,0.602,0.089,1.21794286744786e-201,"1","Ece2",FALSE,TRUE
"Seh1l",4.65395927752713e-206,0.753546400565902,0.856,0.176,1.31488311467974e-201,"1","Seh1l",FALSE,FALSE
"Wdr3",6.09478409612084e-206,0.495304652730173,0.679,0.108,1.72195935067702e-201,"1","Wdr3",FALSE,FALSE
"Mybbp1a",1.02390085150208e-205,0.96113258131413,0.97,0.236,2.89282707574884e-201,"1","Mybbp1a",FALSE,TRUE
"Ercc1",1.04073907489328e-205,0.763694038166187,0.773,0.146,2.94040010829599e-201,"1","Ercc1",FALSE,FALSE
"Psme3",1.80677010597782e-204,0.786235403499472,0.853,0.178,5.10466758041912e-200,"1","Psme3",FALSE,FALSE
"Mina",2.75087700303434e-204,0.474493613904318,0.639,0.097,7.77205279667293e-200,"1","Mina",FALSE,FALSE
"Fam60a",8.37534847569958e-204,0.542174665250046,0.599,0.088,2.3662872048394e-199,"1","Fam60a",FALSE,FALSE
"Snrpa1",9.42097389706836e-204,0.988142461784122,0.957,0.232,2.66170775513872e-199,"1","Snrpa1",FALSE,FALSE
"Naf1",2.93365439167009e-203,0.542163762413683,0.666,0.107,8.2884537527855e-199,"1","Naf1",FALSE,FALSE
