"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Txn1",0,0.314722464339196,0.943,0.917,0,"FAPs (Stem)","Txn1"
"Gpr64",0,0.313293760297198,0.162,0.026,0,"FAPs (Stem)","Gpr64"
"Tmsb10",0,0.312952007770261,0.982,0.967,0,"FAPs (Stem)","Tmsb10"
"Gap43",0,0.312108993206852,0.121,0.013,0,"FAPs (Stem)","Gap43"
"Cldn3",0,0.311604648290274,0.1,0.002,0,"FAPs (Stem)","Cldn3"
"Eif1",0,0.308995054430599,0.994,0.991,0,"FAPs (Stem)","Eif1"
"Rpl36",0,0.30414813295368,0.986,0.976,0,"FAPs (Stem)","Rpl36"
"Rps5",0,0.298067434929541,0.992,0.987,0,"FAPs (Stem)","Rps5"
"RPL24",0,0.295691585073209,0.952,0.931,0,"FAPs (Stem)","RPL24"
"Rps4x",0,0.277453260479575,0.995,0.99,0,"FAPs (Stem)","Rps4x"
"Il6ra",0,0.276154809718906,0.211,0.09,0,"FAPs (Stem)","Il6ra"
"Arhgef28",0,0.273639590242372,0.164,0.062,0,"FAPs (Stem)","Arhgef28"
"Galnt15",0,0.264074417587306,0.209,0.088,0,"FAPs (Stem)","Galnt15"
"Rpl41",0,0.25050670236233,0.996,0.992,0,"FAPs (Stem)","Rpl41"
"Limd2",0,-0.2527912878842,0.074,0.238,0,"FAPs (Stem)","Limd2"
"St3gal4",0,-0.254687006366109,0.164,0.326,0,"FAPs (Stem)","St3gal4"
"P2ry1",0,-0.254695761056318,0.022,0.124,0,"FAPs (Stem)","P2ry1"
"Foxs1",0,-0.257978313429999,0.01,0.127,0,"FAPs (Stem)","Foxs1"
"Lbh",0,-0.258079223616529,0.078,0.225,0,"FAPs (Stem)","Lbh"
"Traf4",0,-0.258569063366035,0.07,0.234,0,"FAPs (Stem)","Traf4"
"Rab31",0,-0.259244907347988,0.13,0.3,0,"FAPs (Stem)","Rab31"
"Frmd4a",0,-0.259744040634737,0.143,0.3,0,"FAPs (Stem)","Frmd4a"
"Acp5",0,-0.265374279064251,0.053,0.196,0,"FAPs (Stem)","Acp5"
"Nxn",0,-0.265795770826271,0.068,0.246,0,"FAPs (Stem)","Nxn"
"Tmem64",0,-0.26840019327344,0.107,0.248,0,"FAPs (Stem)","Tmem64"
"Tns3",0,-0.270460376009403,0.04,0.215,0,"FAPs (Stem)","Tns3"
"Col8a2",0,-0.270563962776605,0.015,0.132,0,"FAPs (Stem)","Col8a2"
"Eps8",0,-0.271406513823904,0.193,0.36,0,"FAPs (Stem)","Eps8"
