"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptgs2.2",0.0005119786158108,-0.305657596480273,0.127,0.146,1,"Monocyte (Cxcl10+)","Ptgs2"
"Cd81.2",0.00466039469051252,-0.416491767113282,0.256,0.269,1,"Monocyte (Cxcl10+)","Cd81"
"Clec4e.2",0.00710447958913752,-0.309747783988577,0.245,0.26,1,"Monocyte (Cxcl10+)","Clec4e"
"Ccl8.3",0,2.51126759365555,0.592,0.221,0,"M2 Macro. (Cx3cr1_lo)","Ccl8"
"Retnla",0,2.03194156841362,0.161,0.044,0,"M2 Macro. (Cx3cr1_lo)","Retnla"
"Mrc1.2",0,1.96349508380269,0.911,0.433,0,"M2 Macro. (Cx3cr1_lo)","Mrc1"
"Folr2.3",0,1.87528325267435,0.824,0.371,0,"M2 Macro. (Cx3cr1_lo)","Folr2"
"F13a1.2",0,1.74107609630951,0.811,0.398,0,"M2 Macro. (Cx3cr1_lo)","F13a1"
"Ccl24.2",0,1.73377622077183,0.395,0.087,0,"M2 Macro. (Cx3cr1_lo)","Ccl24"
"Cbr2.2",0,1.72202993564295,0.725,0.24,0,"M2 Macro. (Cx3cr1_lo)","Cbr2"
"Cd209f",0,1.66526655482068,0.11,0.006,0,"M2 Macro. (Cx3cr1_lo)","Cd209f"
"Pf4.3",0,1.61442556665043,0.97,0.611,0,"M2 Macro. (Cx3cr1_lo)","Pf4"
"Sepp1.1",0,1.49938780300444,0.982,0.824,0,"M2 Macro. (Cx3cr1_lo)","Sepp1"
"Igfbp4.2",0,1.48246677973784,0.665,0.222,0,"M2 Macro. (Cx3cr1_lo)","Igfbp4"
"Gas6.3",0,1.44804562831458,0.732,0.303,0,"M2 Macro. (Cx3cr1_lo)","Gas6"
"Lyve1",0,1.43350251951121,0.228,0.027,0,"M2 Macro. (Cx3cr1_lo)","Lyve1"
"Fcgrt.2",0,1.41395906654058,0.717,0.387,0,"M2 Macro. (Cx3cr1_lo)","Fcgrt"
"Cd163",0,1.37674986937257,0.309,0.044,0,"M2 Macro. (Cx3cr1_lo)","Cd163"
"Dab2.2",0,1.35632176321268,0.883,0.586,0,"M2 Macro. (Cx3cr1_lo)","Dab2"
"Maf.1",0,1.30488336550878,0.844,0.534,0,"M2 Macro. (Cx3cr1_lo)","Maf"
"Ltc4s.2",0,1.25876482623842,0.441,0.139,0,"M2 Macro. (Cx3cr1_lo)","Ltc4s"
"Fxyd2.1",0,1.24949791249928,0.373,0.075,0,"M2 Macro. (Cx3cr1_lo)","Fxyd2"
"Clec10a.2",0,1.23316590292506,0.506,0.192,0,"M2 Macro. (Cx3cr1_lo)","Clec10a"
"Ccl7.1",0,1.19674678238483,0.578,0.372,0,"M2 Macro. (Cx3cr1_lo)","Ccl7"
"Cfh.2",0,1.19041664445858,0.412,0.174,0,"M2 Macro. (Cx3cr1_lo)","Cfh"
"Fcna",0,1.15455897990392,0.239,0.035,0,"M2 Macro. (Cx3cr1_lo)","Fcna"
"Stab1.3",0,1.13744097711573,0.807,0.518,0,"M2 Macro. (Cx3cr1_lo)","Stab1"
"Mgl2.3",0,1.13629305337763,0.263,0.082,0,"M2 Macro. (Cx3cr1_lo)","Mgl2"
"Mt1.2",0,1.1357745513464,0.834,0.751,0,"M2 Macro. (Cx3cr1_lo)","Mt1"
"Ednrb.1",0,1.11081081832257,0.33,0.081,0,"M2 Macro. (Cx3cr1_lo)","Ednrb"
"Serinc3.2",0,1.0980263134902,0.926,0.793,0,"M2 Macro. (Cx3cr1_lo)","Serinc3"
"Ccl12.2",0,1.0527504505996,0.434,0.216,0,"M2 Macro. (Cx3cr1_lo)","Ccl12"
"Fcrls.1",0,1.0176530014115,0.687,0.365,0,"M2 Macro. (Cx3cr1_lo)","Fcrls"
"Cd81.3",0,0.997497758683024,0.489,0.241,0,"M2 Macro. (Cx3cr1_lo)","Cd81"
"Trf.3",0,0.985628038814591,0.711,0.563,0,"M2 Macro. (Cx3cr1_lo)","Trf"
"Wwp1.2",0,0.974409152165083,0.694,0.378,0,"M2 Macro. (Cx3cr1_lo)","Wwp1"
"Pltp.2",0,0.974249988643459,0.797,0.558,0,"M2 Macro. (Cx3cr1_lo)","Pltp"
"Ccl6.3",0,0.954202558619134,0.876,0.718,0,"M2 Macro. (Cx3cr1_lo)","Ccl6"
"Snx2.1",0,0.915969836705962,0.747,0.606,0,"M2 Macro. (Cx3cr1_lo)","Snx2"
"Hmox1.2",0,0.908816467178778,0.737,0.592,0,"M2 Macro. (Cx3cr1_lo)","Hmox1"
"Klf2.3",0,0.898822518291238,0.681,0.543,0,"M2 Macro. (Cx3cr1_lo)","Klf2"
"Serpinb6a.3",0,0.894532485751269,0.635,0.376,0,"M2 Macro. (Cx3cr1_lo)","Serpinb6a"
"Pmp22.3",0,0.878122296295905,0.54,0.3,0,"M2 Macro. (Cx3cr1_lo)","Pmp22"
"Cfp.1",0,0.873281612508124,0.793,0.586,0,"M2 Macro. (Cx3cr1_lo)","Cfp"
"Txnip.3",0,0.860659710143582,0.552,0.365,0,"M2 Macro. (Cx3cr1_lo)","Txnip"
"C1qa.2",0,0.851949300040221,0.925,0.67,0,"M2 Macro. (Cx3cr1_lo)","C1qa"
"Ap2a2",0,0.832288316754149,0.635,0.406,0,"M2 Macro. (Cx3cr1_lo)","Ap2a2"
"Glul.2",0,0.823954450254836,0.732,0.528,0,"M2 Macro. (Cx3cr1_lo)","Glul"
"Rnase4.2",0,0.819131796036522,0.768,0.518,0,"M2 Macro. (Cx3cr1_lo)","Rnase4"
"C1qc.2",0,0.818490456729429,0.935,0.706,0,"M2 Macro. (Cx3cr1_lo)","C1qc"
"Wfdc17.2",0,0.811736411893174,0.933,0.895,0,"M2 Macro. (Cx3cr1_lo)","Wfdc17"
"Csf1r",0,0.807001944285367,0.911,0.789,0,"M2 Macro. (Cx3cr1_lo)","Csf1r"
"Nrp1.2",0,0.762745909474686,0.802,0.615,0,"M2 Macro. (Cx3cr1_lo)","Nrp1"
"Ctsc.2",0,0.761524042021616,0.951,0.873,0,"M2 Macro. (Cx3cr1_lo)","Ctsc"
"Itm2b.2",0,0.761005851814726,0.997,0.983,0,"M2 Macro. (Cx3cr1_lo)","Itm2b"
"Stard8.1",0,0.749647782172785,0.411,0.166,0,"M2 Macro. (Cx3cr1_lo)","Stard8"
"Snx6",0,0.741012495486955,0.618,0.448,0,"M2 Macro. (Cx3cr1_lo)","Snx6"
"C4b",0,0.738330592644209,0.204,0.038,0,"M2 Macro. (Cx3cr1_lo)","C4b"
"Blvrb.2",0,0.735812324390168,0.775,0.6,0,"M2 Macro. (Cx3cr1_lo)","Blvrb"
"Cltc",0,0.735600104231185,0.857,0.744,0,"M2 Macro. (Cx3cr1_lo)","Cltc"
"Marcksl1.2",0,0.733293962602316,0.684,0.44,0,"M2 Macro. (Cx3cr1_lo)","Marcksl1"
"Smagp.1",0,0.725222087015062,0.446,0.18,0,"M2 Macro. (Cx3cr1_lo)","Smagp"
"Tsc22d3.1",0,0.722201343485249,0.636,0.506,0,"M2 Macro. (Cx3cr1_lo)","Tsc22d3"
"Igf1.3",0,0.719131724254673,0.615,0.374,0,"M2 Macro. (Cx3cr1_lo)","Igf1"
"Ehd4.2",0,0.709792278584944,0.811,0.681,0,"M2 Macro. (Cx3cr1_lo)","Ehd4"
"Hpgd.3",0,0.692373872228974,0.334,0.155,0,"M2 Macro. (Cx3cr1_lo)","Hpgd"
"Tslp",0,0.656921877164466,0.19,0.02,0,"M2 Macro. (Cx3cr1_lo)","Tslp"
"C5ar1.2",0,0.624558109801101,0.725,0.536,0,"M2 Macro. (Cx3cr1_lo)","C5ar1"
"Ap1b1.1",0,0.606157051044615,0.546,0.352,0,"M2 Macro. (Cx3cr1_lo)","Ap1b1"
"Slc9a9.1",0,0.605354067916204,0.41,0.191,0,"M2 Macro. (Cx3cr1_lo)","Slc9a9"
"C1qb.3",0,0.603991859801306,0.945,0.742,0,"M2 Macro. (Cx3cr1_lo)","C1qb"
"Eps15",0,0.600698360186306,0.524,0.35,0,"M2 Macro. (Cx3cr1_lo)","Eps15"
"Emr1.1",0,0.598569750968462,0.852,0.708,0,"M2 Macro. (Cx3cr1_lo)","Emr1"
"Pepd",0,0.598018175737949,0.583,0.46,0,"M2 Macro. (Cx3cr1_lo)","Pepd"
"Npl.2",0,0.596533829076281,0.394,0.177,0,"M2 Macro. (Cx3cr1_lo)","Npl"
"Zfp36l1.1",0,0.593227014750907,0.748,0.625,0,"M2 Macro. (Cx3cr1_lo)","Zfp36l1"
"Itsn1",0,0.589804114960967,0.408,0.192,0,"M2 Macro. (Cx3cr1_lo)","Itsn1"
"Ccl9.2",0,0.589766534355038,0.843,0.689,0,"M2 Macro. (Cx3cr1_lo)","Ccl9"
"Fcgr3.1",0,0.587137532781838,0.888,0.782,0,"M2 Macro. (Cx3cr1_lo)","Fcgr3"
"Selenbp1",0,0.586497697592444,0.268,0.1,0,"M2 Macro. (Cx3cr1_lo)","Selenbp1"
"Snx3.2",0,0.58221593637614,0.876,0.819,0,"M2 Macro. (Cx3cr1_lo)","Snx3"
"Bin1.3",0,0.579998697510125,0.636,0.481,0,"M2 Macro. (Cx3cr1_lo)","Bin1"
"Fcgr2b.1",0,0.572255219562192,0.77,0.645,0,"M2 Macro. (Cx3cr1_lo)","Fcgr2b"
"Sdc4.1",0,0.569931580027535,0.554,0.404,0,"M2 Macro. (Cx3cr1_lo)","Sdc4"
"Rnasel",0,0.564692059418108,0.371,0.184,0,"M2 Macro. (Cx3cr1_lo)","Rnasel"
"Abca1.2",0,0.561493362070041,0.64,0.484,0,"M2 Macro. (Cx3cr1_lo)","Abca1"
"Ninj1.1",0,0.559450025841991,0.839,0.749,0,"M2 Macro. (Cx3cr1_lo)","Ninj1"
"Rab11fip5.1",0,0.55656096566467,0.43,0.241,0,"M2 Macro. (Cx3cr1_lo)","Rab11fip5"
"Gmfg.2",0,0.553131130178071,0.781,0.688,0,"M2 Macro. (Cx3cr1_lo)","Gmfg"
"Man1a",0,0.543174544183964,0.54,0.376,0,"M2 Macro. (Cx3cr1_lo)","Man1a"
"Gas7.2",0,0.542109094312854,0.538,0.352,0,"M2 Macro. (Cx3cr1_lo)","Gas7"
"Lifr.1",0,0.539401405833279,0.311,0.123,0,"M2 Macro. (Cx3cr1_lo)","Lifr"
"Ap2m1.1",0,0.536463254087275,0.746,0.679,0,"M2 Macro. (Cx3cr1_lo)","Ap2m1"
"Gpr34.1",0,0.53420638766392,0.37,0.198,0,"M2 Macro. (Cx3cr1_lo)","Gpr34"
"KCTD12.1",0,0.532631157591321,0.7,0.599,0,"M2 Macro. (Cx3cr1_lo)","KCTD12"
"Aplp2.2",0,0.526151135147858,0.677,0.555,0,"M2 Macro. (Cx3cr1_lo)","Aplp2"
"Mtss1.1",0,0.525093272661594,0.482,0.318,0,"M2 Macro. (Cx3cr1_lo)","Mtss1"
"Dstn.1",0,0.520606920664686,0.743,0.625,0,"M2 Macro. (Cx3cr1_lo)","Dstn"
"Timp2.2",0,0.51669451133621,0.88,0.687,0,"M2 Macro. (Cx3cr1_lo)","Timp2"
"Frmd4b.1",0,0.515264189323512,0.496,0.326,0,"M2 Macro. (Cx3cr1_lo)","Frmd4b"
"Tgfbr2.1",0,0.513080563512157,0.52,0.368,0,"M2 Macro. (Cx3cr1_lo)","Tgfbr2"
"Rps29.1",0,0.505629847494413,0.994,0.992,0,"M2 Macro. (Cx3cr1_lo)","Rps29"
"Dse",0,0.491878459913662,0.462,0.308,0,"M2 Macro. (Cx3cr1_lo)","Dse"
"Ptpn18",0,0.490969741281208,0.906,0.863,0,"M2 Macro. (Cx3cr1_lo)","Ptpn18"
"Ctla2b.2",0,0.482960042695718,0.308,0.168,0,"M2 Macro. (Cx3cr1_lo)","Ctla2b"
"Clec4a1.3",0,0.481859882190986,0.658,0.473,0,"M2 Macro. (Cx3cr1_lo)","Clec4a1"
"Cd302",0,0.480362953239454,0.592,0.466,0,"M2 Macro. (Cx3cr1_lo)","Cd302"
"Slco2b1.1",0,0.474649074246254,0.283,0.117,0,"M2 Macro. (Cx3cr1_lo)","Slco2b1"
"Sult1a1",0,0.469686675251399,0.206,0.057,0,"M2 Macro. (Cx3cr1_lo)","Sult1a1"
"Timd4",0,0.467672703115634,0.111,0.017,0,"M2 Macro. (Cx3cr1_lo)","Timd4"
"Mef2c.1",0,0.46730478657504,0.528,0.39,0,"M2 Macro. (Cx3cr1_lo)","Mef2c"
"Marcks.2",0,0.466597157855264,0.877,0.832,0,"M2 Macro. (Cx3cr1_lo)","Marcks"
"Rcn3",0,0.461881697654365,0.171,0.051,0,"M2 Macro. (Cx3cr1_lo)","Rcn3"
"Abca9",0,0.456681075307967,0.242,0.086,0,"M2 Macro. (Cx3cr1_lo)","Abca9"
"Lrp6",0,0.437443970650823,0.308,0.158,0,"M2 Macro. (Cx3cr1_lo)","Lrp6"
"Ifitm2.2",0,0.437416229511478,0.93,0.883,0,"M2 Macro. (Cx3cr1_lo)","Ifitm2"
"Rab3il1.1",0,0.434290747440223,0.554,0.416,0,"M2 Macro. (Cx3cr1_lo)","Rab3il1"
"Sbf2",0,0.425218571099399,0.326,0.167,0,"M2 Macro. (Cx3cr1_lo)","Sbf2"
"Clec4a2.2",0,0.421335845506864,0.715,0.57,0,"M2 Macro. (Cx3cr1_lo)","Clec4a2"
"Prkacb",0,0.420454111245595,0.387,0.263,0,"M2 Macro. (Cx3cr1_lo)","Prkacb"
"Cela1.2",0,0.407785009436363,0.286,0.145,0,"M2 Macro. (Cx3cr1_lo)","Cela1"
"Slc40a1",0,0.401151549256566,0.103,0.025,0,"M2 Macro. (Cx3cr1_lo)","Slc40a1"
"Nxpe5",0,0.40058805059598,0.271,0.123,0,"M2 Macro. (Cx3cr1_lo)","Nxpe5"
"Cd38",0,0.399063547705152,0.238,0.121,0,"M2 Macro. (Cx3cr1_lo)","Cd38"
"Tns1",0,0.396057535359259,0.273,0.155,0,"M2 Macro. (Cx3cr1_lo)","Tns1"
"Tspan3.1",0,0.392367631303811,0.489,0.36,0,"M2 Macro. (Cx3cr1_lo)","Tspan3"
"Snx5.1",0,0.389628311799056,0.882,0.827,0,"M2 Macro. (Cx3cr1_lo)","Snx5"
"Rnf130",0,0.388587792344845,0.791,0.747,0,"M2 Macro. (Cx3cr1_lo)","Rnf130"
"Nfxl1.1",0,0.377316893710409,0.281,0.155,0,"M2 Macro. (Cx3cr1_lo)","Nfxl1"
"mt-Cytb",0,0.376203112823712,0.971,0.947,0,"M2 Macro. (Cx3cr1_lo)","mt-Cytb"
"Psd3",0,0.369806301461822,0.201,0.064,0,"M2 Macro. (Cx3cr1_lo)","Psd3"
"Clta",0,0.364266567728754,0.953,0.945,0,"M2 Macro. (Cx3cr1_lo)","Clta"
"Rgs10.1",0,0.362514234284089,0.88,0.838,0,"M2 Macro. (Cx3cr1_lo)","Rgs10"
"P2ry12",0,0.359881619675096,0.281,0.147,0,"M2 Macro. (Cx3cr1_lo)","P2ry12"
"Prune2",0,0.355448990353829,0.264,0.126,0,"M2 Macro. (Cx3cr1_lo)","Prune2"
"Cp",0,0.352368522488658,0.137,0.025,0,"M2 Macro. (Cx3cr1_lo)","Cp"
"Fgfr1",0,0.346756911631545,0.13,0.049,0,"M2 Macro. (Cx3cr1_lo)","Fgfr1"
"Unc93b1.3",0,0.345573609426248,0.884,0.848,0,"M2 Macro. (Cx3cr1_lo)","Unc93b1"
"Colec12",0,0.339979180089224,0.11,0.035,0,"M2 Macro. (Cx3cr1_lo)","Colec12"
"mt-Co1.1",0,0.33596616783217,0.998,0.996,0,"M2 Macro. (Cx3cr1_lo)","mt-Co1"
"Grn.2",0,0.325037430906135,0.97,0.923,0,"M2 Macro. (Cx3cr1_lo)","Grn"
"mt-Atp6",0,0.297124757627855,0.993,0.989,0,"M2 Macro. (Cx3cr1_lo)","mt-Atp6"
"Gm4951.1",0,0.288259311849782,0.125,0.035,0,"M2 Macro. (Cx3cr1_lo)","Gm4951"
"Alox5",0,0.286056947704865,0.135,0.04,0,"M2 Macro. (Cx3cr1_lo)","Alox5"
"2810055G20Rik",0,0.283008274174021,0.168,0.062,0,"M2 Macro. (Cx3cr1_lo)","2810055G20Rik"
"Chp2",0,0.282833102108013,0.11,0.014,0,"M2 Macro. (Cx3cr1_lo)","Chp2"
"Gja1",0,0.280059724200032,0.117,0.033,0,"M2 Macro. (Cx3cr1_lo)","Gja1"
"Aldh7a1",0,0.275704325781131,0.183,0.078,0,"M2 Macro. (Cx3cr1_lo)","Aldh7a1"
"Scamp5",0,0.274410311915763,0.202,0.093,0,"M2 Macro. (Cx3cr1_lo)","Scamp5"
"St3gal6",0,0.26717705264636,0.15,0.061,0,"M2 Macro. (Cx3cr1_lo)","St3gal6"
"Etv1",0,0.262881425889467,0.123,0.025,0,"M2 Macro. (Cx3cr1_lo)","Etv1"
"Scn1b",0,0.253383677451605,0.163,0.072,0,"M2 Macro. (Cx3cr1_lo)","Scn1b"
"Rac3",0,0.252519640323724,0.165,0.072,0,"M2 Macro. (Cx3cr1_lo)","Rac3"
"Rpl8",0,-0.255369629897389,0.972,0.982,0,"M2 Macro. (Cx3cr1_lo)","Rpl8"
"Amz1",0,-0.281430731623651,0.05,0.193,0,"M2 Macro. (Cx3cr1_lo)","Amz1"
"Rpl18.1",0,-0.296566477431284,0.961,0.983,0,"M2 Macro. (Cx3cr1_lo)","Rpl18"
"Rpl19",0,-0.299183806609618,0.983,0.991,0,"M2 Macro. (Cx3cr1_lo)","Rpl19"
"Irak2",0,-0.306354350287686,0.15,0.317,0,"M2 Macro. (Cx3cr1_lo)","Irak2"
"Smim3",0,-0.30649615505323,0.122,0.285,0,"M2 Macro. (Cx3cr1_lo)","Smim3"
"Ptk2b",0,-0.315334157483672,0.142,0.325,0,"M2 Macro. (Cx3cr1_lo)","Ptk2b"
"Sorl1.1",0,-0.324026217393245,0.073,0.227,0,"M2 Macro. (Cx3cr1_lo)","Sorl1"
"Nr1h3.1",0,-0.328419692351522,0.109,0.263,0,"M2 Macro. (Cx3cr1_lo)","Nr1h3"
"Eif4a1.1",0,-0.331276745818064,0.858,0.923,0,"M2 Macro. (Cx3cr1_lo)","Eif4a1"
"Ssr4",0,-0.33315950683459,0.726,0.839,0,"M2 Macro. (Cx3cr1_lo)","Ssr4"
"Sh3bgrl3.1",0,-0.338757988963027,0.952,0.973,0,"M2 Macro. (Cx3cr1_lo)","Sh3bgrl3"
"Itgal.2",0,-0.357690068991869,0.058,0.194,0,"M2 Macro. (Cx3cr1_lo)","Itgal"
"Havcr2",0,-0.359965630983382,0.074,0.239,0,"M2 Macro. (Cx3cr1_lo)","Havcr2"
"Abi3",0,-0.361530108931516,0.114,0.294,0,"M2 Macro. (Cx3cr1_lo)","Abi3"
"Slamf7.1",0,-0.36356371016497,0.164,0.326,0,"M2 Macro. (Cx3cr1_lo)","Slamf7"
"Tyrobp.1",0,-0.379425308404223,0.984,0.989,0,"M2 Macro. (Cx3cr1_lo)","Tyrobp"
"Alcam.1",0,-0.385324358858605,0.175,0.358,0,"M2 Macro. (Cx3cr1_lo)","Alcam"
"Gpr35.1",0,-0.387813797670086,0.094,0.273,0,"M2 Macro. (Cx3cr1_lo)","Gpr35"
"Tgfbr1",0,-0.395178990424631,0.229,0.397,0,"M2 Macro. (Cx3cr1_lo)","Tgfbr1"
"Gnas.2",0,-0.395772363236229,0.84,0.919,0,"M2 Macro. (Cx3cr1_lo)","Gnas"
"Chd7.1",0,-0.398312699283912,0.209,0.383,0,"M2 Macro. (Cx3cr1_lo)","Chd7"
"Mefv.2",0,-0.403009291525393,0.065,0.211,0,"M2 Macro. (Cx3cr1_lo)","Mefv"
"Gcnt2",0,-0.403669658898976,0.045,0.203,0,"M2 Macro. (Cx3cr1_lo)","Gcnt2"
"Gpr137b.3",0,-0.417702385996592,0.267,0.435,0,"M2 Macro. (Cx3cr1_lo)","Gpr137b"
"Fgr.2",0,-0.420106279433992,0.12,0.318,0,"M2 Macro. (Cx3cr1_lo)","Fgr"
"Aldoa.3",0,-0.425753233614475,0.685,0.794,0,"M2 Macro. (Cx3cr1_lo)","Aldoa"
"AF251705",0,-0.434290786834485,0.643,0.811,0,"M2 Macro. (Cx3cr1_lo)","AF251705"
"Tkt.1",0,-0.443879311959134,0.556,0.741,0,"M2 Macro. (Cx3cr1_lo)","Tkt"
"Lrrfip1.2",0,-0.449209795419989,0.394,0.577,0,"M2 Macro. (Cx3cr1_lo)","Lrrfip1"
"Cd300lf.1",0,-0.449777853364024,0.074,0.264,0,"M2 Macro. (Cx3cr1_lo)","Cd300lf"
"Sema4d.3",0,-0.450155699798977,0.132,0.354,0,"M2 Macro. (Cx3cr1_lo)","Sema4d"
"Lat2.1",0,-0.450699196634924,0.417,0.633,0,"M2 Macro. (Cx3cr1_lo)","Lat2"
"Spag9.2",0,-0.451214691456871,0.51,0.681,0,"M2 Macro. (Cx3cr1_lo)","Spag9"
"Psmb8.2",0,-0.453580721527789,0.712,0.834,0,"M2 Macro. (Cx3cr1_lo)","Psmb8"
"Psmb6.1",0,-0.455616797994437,0.669,0.793,0,"M2 Macro. (Cx3cr1_lo)","Psmb6"
"Axl.2",0,-0.456480795317059,0.19,0.358,0,"M2 Macro. (Cx3cr1_lo)","Axl"
"Atox1",0,-0.457398514168639,0.85,0.928,0,"M2 Macro. (Cx3cr1_lo)","Atox1"
"Adssl1.2",0,-0.466898226547567,0.26,0.462,0,"M2 Macro. (Cx3cr1_lo)","Adssl1"
"Glipr1",0,-0.473237496573521,0.257,0.467,0,"M2 Macro. (Cx3cr1_lo)","Glipr1"
"Txn1.2",0,-0.477517631578042,0.771,0.856,0,"M2 Macro. (Cx3cr1_lo)","Txn1"
"Esd.2",0,-0.479835551610049,0.625,0.759,0,"M2 Macro. (Cx3cr1_lo)","Esd"
"Slc15a3.2",0,-0.482632871608494,0.394,0.603,0,"M2 Macro. (Cx3cr1_lo)","Slc15a3"
"Fth1.1",0,-0.485169366086903,1,0.999,0,"M2 Macro. (Cx3cr1_lo)","Fth1"
"Btg1.2",0,-0.499579974590193,0.797,0.904,0,"M2 Macro. (Cx3cr1_lo)","Btg1"
"Actg1.2",0,-0.503811315125676,0.978,0.988,0,"M2 Macro. (Cx3cr1_lo)","Actg1"
"Ezr.1",0,-0.505998920363023,0.252,0.483,0,"M2 Macro. (Cx3cr1_lo)","Ezr"
"H2afz.2",0,-0.513244865269857,0.911,0.951,0,"M2 Macro. (Cx3cr1_lo)","H2afz"
"Fam46c",0,-0.513552124806749,0.173,0.382,0,"M2 Macro. (Cx3cr1_lo)","Fam46c"
"Ifi30",0,-0.513911749934384,0.776,0.877,0,"M2 Macro. (Cx3cr1_lo)","Ifi30"
"Gsr.2",0,-0.519671043685877,0.082,0.225,0,"M2 Macro. (Cx3cr1_lo)","Gsr"
"Vim.2",0,-0.522728423404355,0.939,0.958,0,"M2 Macro. (Cx3cr1_lo)","Vim"
"Lmnb1.2",0,-0.524815278054139,0.151,0.35,0,"M2 Macro. (Cx3cr1_lo)","Lmnb1"
"Ifrd1.1",0,-0.528720752147273,0.561,0.731,0,"M2 Macro. (Cx3cr1_lo)","Ifrd1"
"Itgb2.1",0,-0.534293862035676,0.509,0.693,0,"M2 Macro. (Cx3cr1_lo)","Itgb2"
"Itgax",0,-0.54305551599208,0.025,0.222,0,"M2 Macro. (Cx3cr1_lo)","Itgax"
"Rilpl2.1",0,-0.544158297464725,0.482,0.675,0,"M2 Macro. (Cx3cr1_lo)","Rilpl2"
"Ctsz.1",0,-0.554356879213833,0.903,0.953,0,"M2 Macro. (Cx3cr1_lo)","Ctsz"
"Ccrl2.1",0,-0.554892169485083,0.261,0.441,0,"M2 Macro. (Cx3cr1_lo)","Ccrl2"
"Gde1.1",0,-0.557183861998358,0.288,0.483,0,"M2 Macro. (Cx3cr1_lo)","Gde1"
"Cyba.1",0,-0.557616528584777,0.964,0.981,0,"M2 Macro. (Cx3cr1_lo)","Cyba"
"Csf2rb.2",0,-0.559896582582308,0.316,0.503,0,"M2 Macro. (Cx3cr1_lo)","Csf2rb"
"Cyp4f18",0,-0.562374259704167,0.306,0.525,0,"M2 Macro. (Cx3cr1_lo)","Cyp4f18"
"Prdx6.1",0,-0.564236738724452,0.381,0.575,0,"M2 Macro. (Cx3cr1_lo)","Prdx6"
"Pgam1.2",0,-0.56495372025484,0.54,0.699,0,"M2 Macro. (Cx3cr1_lo)","Pgam1"
"Pim1.2",0,-0.605792965753185,0.435,0.673,0,"M2 Macro. (Cx3cr1_lo)","Pim1"
"Arl5c.2",0,-0.613851016777296,0.159,0.346,0,"M2 Macro. (Cx3cr1_lo)","Arl5c"
"Adam8.3",0,-0.615315325788363,0.265,0.487,0,"M2 Macro. (Cx3cr1_lo)","Adam8"
"Psap.2",0,-0.619544438727822,0.993,0.989,0,"M2 Macro. (Cx3cr1_lo)","Psap"
"Tgm2.1",0,-0.627262896989788,0.181,0.427,0,"M2 Macro. (Cx3cr1_lo)","Tgm2"
"Mpeg1.1",0,-0.627825250515873,0.703,0.862,0,"M2 Macro. (Cx3cr1_lo)","Mpeg1"
"Aprt.2",0,-0.634118885298196,0.604,0.768,0,"M2 Macro. (Cx3cr1_lo)","Aprt"
"Pkm.2",0,-0.640294156656493,0.701,0.841,0,"M2 Macro. (Cx3cr1_lo)","Pkm"
"Hexb.2",0,-0.646291275562687,0.688,0.787,0,"M2 Macro. (Cx3cr1_lo)","Hexb"
"Cd24a.1",0,-0.647794763527763,0.049,0.242,0,"M2 Macro. (Cx3cr1_lo)","Cd24a"
"Bcl2a1d.3",0,-0.653936123613366,0.08,0.249,0,"M2 Macro. (Cx3cr1_lo)","Bcl2a1d"
"Ctss.2",0,-0.658538892052047,0.983,0.991,0,"M2 Macro. (Cx3cr1_lo)","Ctss"
"Itgb7.2",0,-0.668587893193525,0.05,0.268,0,"M2 Macro. (Cx3cr1_lo)","Itgb7"
"Runx3.1",0,-0.669132375901472,0.125,0.378,0,"M2 Macro. (Cx3cr1_lo)","Runx3"
"Gm2a.1",0,-0.693656365656189,0.651,0.811,0,"M2 Macro. (Cx3cr1_lo)","Gm2a"
"Bhlhe40.1",0,-0.701636336763858,0.166,0.421,0,"M2 Macro. (Cx3cr1_lo)","Bhlhe40"
"Basp1.1",0,-0.707055881725239,0.462,0.667,0,"M2 Macro. (Cx3cr1_lo)","Basp1"
"Tspan13.1",0,-0.719290405182988,0.1,0.339,0,"M2 Macro. (Cx3cr1_lo)","Tspan13"
"Taldo1.1",0,-0.719815038203913,0.649,0.83,0,"M2 Macro. (Cx3cr1_lo)","Taldo1"
"Coro1a.2",0,-0.72417371384176,0.736,0.886,0,"M2 Macro. (Cx3cr1_lo)","Coro1a"
"Plaur.1",0,-0.724767004356373,0.248,0.493,0,"M2 Macro. (Cx3cr1_lo)","Plaur"
"Il7r.1",0,-0.748594183499412,0.061,0.299,0,"M2 Macro. (Cx3cr1_lo)","Il7r"
"H2-DMb1.1",0,-0.762992011691439,0.423,0.594,0,"M2 Macro. (Cx3cr1_lo)","H2-DMb1"
"Sgk1.1",0,-0.78009716350427,0.279,0.496,0,"M2 Macro. (Cx3cr1_lo)","Sgk1"
"S100a11.2",0,-0.795598259287961,0.661,0.804,0,"M2 Macro. (Cx3cr1_lo)","S100a11"
"Sirpb1c.2",0,-0.797892546773549,0.167,0.445,0,"M2 Macro. (Cx3cr1_lo)","Sirpb1c"
"Bcl2a1b.2",0,-0.798408841461711,0.333,0.56,0,"M2 Macro. (Cx3cr1_lo)","Bcl2a1b"
"F10.2",0,-0.813950552268111,0.042,0.225,0,"M2 Macro. (Cx3cr1_lo)","F10"
