"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clec4n",0,0.565036194759138,0.471,0.337,0,"Monocyte (Patrolling)","Clec4n"
"Ifi27l2a",0,0.562941386029364,0.914,0.867,0,"Monocyte (Patrolling)","Ifi27l2a"
"Flna",0,0.554405989772752,0.652,0.473,0,"Monocyte (Patrolling)","Flna"
"Bcl2a1d",0,0.553436698524777,0.334,0.209,0,"Monocyte (Patrolling)","Bcl2a1d"
"Cflar",0,0.552847845749117,0.592,0.455,0,"Monocyte (Patrolling)","Cflar"
"Crip1",0,0.548961842626868,0.949,0.911,0,"Monocyte (Patrolling)","Crip1"
"Gpr35",0,0.547590255282452,0.415,0.22,0,"Monocyte (Patrolling)","Gpr35"
"Cmip",0,0.547082092474391,0.646,0.491,0,"Monocyte (Patrolling)","Cmip"
"Atp1a1",0,0.543989835034261,0.756,0.616,0,"Monocyte (Patrolling)","Atp1a1"
"Neat1",0,0.543403889068473,0.895,0.8,0,"Monocyte (Patrolling)","Neat1"
"Phlda1",0,0.542303548099041,0.477,0.305,0,"Monocyte (Patrolling)","Phlda1"
"Plec",0,0.540243707688623,0.598,0.448,0,"Monocyte (Patrolling)","Plec"
"Slc15a3",0,0.540122416032589,0.705,0.554,0,"Monocyte (Patrolling)","Slc15a3"
"Metrnl",0,0.533880058961172,0.792,0.652,0,"Monocyte (Patrolling)","Metrnl"
"Cdk2ap2",0,0.532938330501677,0.653,0.512,0,"Monocyte (Patrolling)","Cdk2ap2"
"Fdps",0,0.532179510541531,0.33,0.206,0,"Monocyte (Patrolling)","Fdps"
"Gp49a",0,0.529669895063194,0.73,0.579,0,"Monocyte (Patrolling)","Gp49a"
"Tspo",0,0.529641321262999,0.942,0.88,0,"Monocyte (Patrolling)","Tspo"
"Gch1",0,0.527487217217843,0.538,0.35,0,"Monocyte (Patrolling)","Gch1"
"Ppp2ca",0,0.526716858056768,0.838,0.716,0,"Monocyte (Patrolling)","Ppp2ca"
"Itgb7",0,0.524112627604542,0.423,0.206,0,"Monocyte (Patrolling)","Itgb7"
"Slc2a1",0,0.524023164020019,0.338,0.163,0,"Monocyte (Patrolling)","Slc2a1"
"Rab11fip1",0,0.522361114323645,0.325,0.128,0,"Monocyte (Patrolling)","Rab11fip1"
"Tiparp",0,0.520526577920665,0.615,0.468,0,"Monocyte (Patrolling)","Tiparp"
"Trem1",0,0.518664680787284,0.226,0.041,0,"Monocyte (Patrolling)","Trem1"
"Jdp2",0,0.517923498672722,0.342,0.209,0,"Monocyte (Patrolling)","Jdp2"
"Rilpl2",0,0.517292876696859,0.755,0.632,0,"Monocyte (Patrolling)","Rilpl2"
"Glrx",0,0.506819243516487,0.532,0.41,0,"Monocyte (Patrolling)","Glrx"
"Fcgr1",0,0.503400484021137,0.8,0.703,0,"Monocyte (Patrolling)","Fcgr1"
"Rnh1",0,0.502747873811313,0.843,0.752,0,"Monocyte (Patrolling)","Rnh1"
"Isg15",0,0.502612680303967,0.562,0.431,0,"Monocyte (Patrolling)","Isg15"
"Hspa5",0,0.50175718678367,0.931,0.889,0,"Monocyte (Patrolling)","Hspa5"
"Kdm6b",0,0.501070948310058,0.731,0.539,0,"Monocyte (Patrolling)","Kdm6b"
"Plbd1",0,0.500891980063315,0.715,0.43,0,"Monocyte (Patrolling)","Plbd1"
"Osm",0,0.498358778596957,0.495,0.345,0,"Monocyte (Patrolling)","Osm"
"Rbms1",0,0.491063439721156,0.784,0.659,0,"Monocyte (Patrolling)","Rbms1"
"Tpm4",0,0.487824065115932,0.721,0.585,0,"Monocyte (Patrolling)","Tpm4"
"Mrpl33",0,0.485790186658939,0.814,0.721,0,"Monocyte (Patrolling)","Mrpl33"
"Dusp5",0,0.485227931853207,0.533,0.341,0,"Monocyte (Patrolling)","Dusp5"
"Fosl2",0,0.48476097123827,0.611,0.465,0,"Monocyte (Patrolling)","Fosl2"
"B4galt5",0,0.484301650620525,0.542,0.36,0,"Monocyte (Patrolling)","B4galt5"
"Por",0,0.483321210969786,0.626,0.459,0,"Monocyte (Patrolling)","Por"
"C5ar1",0,0.483199395946172,0.659,0.537,0,"Monocyte (Patrolling)","C5ar1"
"Taldo1",0,0.482906090982556,0.882,0.795,0,"Monocyte (Patrolling)","Taldo1"
